Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakQS118 - RH118 A1 180mm 160 PUR|2011/01/30 00:33:03|41|41|
KoeRakQS118 - RH118 A1 180mm 160 PUR|2011/07/18 05:45:24|53.5|53.5|
KoeRakQS118 - RH118 A2 260mm 160 PUR|2011/03/15 12:03:03|69.8|69.8|
KoeRakQS118 - RH118 A2 260mm 160 PUR|2011/08/14 20:51:15|41.1|41.1|
KoeRakQS118 - RH118 A3 295mm 160 PUR|2011/03/29 02:03:22|81.2|81.2|
KoeRakQS118 - RH118 A3 295mm 160 PUR|2011/08/22 12:11:15|73.4|73.4|
KoeRakQS118 - RH118 Y1 180mm 160 PUR|2011/04/23 03:37:13|36.7|36.7|
KoeRakQS118 - RH118 Y1 180mm 160 PUR|2011/11/17 16:14:05|44.7|44.7|
KoeRakQS118 - RH118 Y2 260mm 160 PUR|2011/05/21 14:57:13|37.8|37.8|
KoeRakQS118 - RH118 Y2 260mm 160 PUR|2012/01/06 05:24:05|70.1|70.1|
KoeRakQS118 - RH118 Y3 295mm 160 PUR|2011/07/28 05:55:26|61.5|61.5|
KoeRakQS118 - T118 A1 180mm 160 PUR|2011/03/29 11:13:13|11.5|11.5|
KoeRakQS118 - T118 A1 180mm 160 PUR|2011/08/18 06:31:15|18.8|18.8|
KoeRakQS118 - T118 A2 260mm 160 PUR|2011/03/09 12:43:22|12.5|12.5|
KoeRakQS118 - T118 A2 260mm 160 PUR|2011/07/11 15:25:43|33.5|33.5|
KoeRakQS118 - T118 A3 295mm 160 PUR|2011/02/09 00:33:03|-3.4|-3.4|
KoeRakQS118 - T118 A3 295mm 160 PUR|2011/05/30 13:07:13|12.4|12.4|
KoeRakQS118 - T118 A3 295mm 160 PUR|2011/11/18 07:14:05|1.3|1.3|
KoeRakQS118 - T118 Y1 180mm 160 PUR|2011/04/24 07:06:51|14.9|14.9|
KoeRakQS118 - T118 Y1 180mm 160 PUR|2011/09/16 17:11:15|21.1|21.1|
KoeRakQS118 - T118 Y2 260mm 160 PUR|2011/03/28 19:23:03|8.1|8.1|
KoeRakQS118 - T118 Y2 260mm 160 PUR|2011/08/11 00:20:58|16.4|16.4|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2011/02/28 16:13:22|4.6|4.6|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2011/06/27 11:25:43|25.5|25.5|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2012/01/29 17:34:05|-17.4|-17.4|
