Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakFL140 - T140 L01 42800mm|2011/02/22 17:43:03|4|4|
KoeRakFL140 - T140 L04 8000mm|2011/04/26 11:36:51|12.5|12.5|
KoeRakFL140 - T140 L08 5300mm|2011/05/23 00:16:51|16.5|16.5|
KoeRakFL140 - T140 L10 3600mm|2011/02/15 09:53:03|15|15|
KoeRakGL140 - RH140 L11 8500mm|2011/03/06 18:03:22|74.2|74.2|
KoeRakGL140 - RH140 L11 8500mm|2011/05/04 01:17:13|61.3|61.3|
KoeRakGL140 - RH140 L11 8500mm|2011/10/08 04:11:15|79|79|
KoeRakGL140 - T140 L14 1540mm|2011/02/14 13:34:33|30.9|30.9|
KoeRakGL140 - T140 L14 1540mm|2011/04/28 23:36:51|25.8|25.8|
KoeRakGL140 - T140 L14 1540mm|2012/01/21 12:04:05|27.4|27.4|
KoeRakGL140 - RH140 L13 3500mm|2011/11/21 02:44:05|52.6|52.6|
KoeRakGL140 - T140 L11 8500mm|2011/08/08 11:54:55|13.5|13.5|
KoeRakGL140 - T140 L12 21800mm|2011/02/24 21:54:33|9.8|9.8|
KoeRakGL140 - T140 L13 3500mm|2011/02/15 15:43:13|22.5|22.5|
KoeRakGL140 - T140 L13 3500mm|2011/04/21 21:37:13|20|20|
KoeRakGL140 - T140 L13 3500mm|2012/01/02 12:14:05|21.7|21.7|
KoeRakGL140 - RH140 L12 21800mm|2011/03/22 23:44:33|90.2|90.2|
KoeRakGL140 - RH140 L12 21800mm|2011/12/05 16:44:05|53.5|53.5|
KoeRakGL140 Meta - AH140 L11 8500mm|2011/05/03 08:36:51|6.5|6,5g/m3|
KoeRakGL140 Meta - AH140 L11 8500mm|2011/10/10 22:51:15|8.7|8,7g/m3|
KoeRakGL140 Meta - AH140 L12 21800mm|2011/04/28 21:07:13|9|9,0g/m3|
KoeRakGL140 Meta - AH140 L13 3500mm|2011/03/02 12:54:33|11.3|11,3g/m3|
KoeRakGL140 Meta - AH140 L13 3500mm|2011/11/23 17:14:05|10|10,0g/m3|
KoeRakGL140 Meta - AH140 L14 1540mm|2011/06/07 02:47:13|16.8|16,8g/m3|
