Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakDS142 - RH142 A1 195mm 190PUR|2011/01/30 01:23:03|34.5|34.5|
KoeRakDS142 - RH142 A1 195mm 190PUR|2011/09/06 00:31:15|54.6|54.6|
KoeRakDS142 - RH142 A2 290mm 190PUR|2011/06/18 11:35:43|58.5|58.5|
KoeRakDS142 - RH142 A3 325mm 190PUR|2011/03/24 14:23:03|59.4|59.4|
KoeRakDS142 - RH142 Y1 195mm 190PUR|2011/03/25 17:53:03|19|19|
KoeRakDS142 - RH142 Y2 290mm 190PUR|2011/02/27 12:43:03|67.8|67.8|
KoeRakDS142 - RH142 Y2 290mm 190PUR|2011/09/08 16:40:58|72.1|72.1|
KoeRakDS142 - RH142 Y3 325mm 190PUR|2011/06/30 10:15:43|61|61|
KoeRakDS142 - T142 A1 195mm 190PUR|2011/04/09 02:07:13|17.2|17.2|
KoeRakDS142 - T142 A1 195mm 190PUR|2011/12/29 05:44:05|13.5|13.5|
KoeRakDS142 - T142 A2 290mm 190PUR|2011/06/11 05:25:24|24.8|24.8|
KoeRakDS142 - T142 A3 325mm 190PUR|2011/02/15 23:13:22|-15.8|-15.8|
KoeRakDS142 - T142 A3 325mm 190PUR|2011/07/15 21:55:24|26.8|26.8|
KoeRakDS142 - T142 Y1 195mm 190PUR|2011/05/22 22:37:13|22.2|22.2|
KoeRakDS142 - T142 Y2 290mm 190PUR|2011/04/22 18:26:51|21.3|21.3|
KoeRakDS142 - T142 Y2 290mm 190PUR|2011/11/20 23:24:05|-2.2|-2.2|
KoeRakDS142 - T142 Y3 325mm 190PUR|2011/05/22 16:47:13|30.5|30.5|
KoeRakDS142 Meta - AH142 A1 195mm 190PUR|2011/02/16 21:43:03|0.8|0,8 g/m3|
KoeRakDS142 Meta - AH142 A1 195mm 190PUR|2011/10/29 13:31:15|7.7|7,7 g/m3|
KoeRakDS142 Meta - AH142 A2 290mm 190PUR|2011/08/26 15:20:58|13.2|13,2 g/m3|
KoeRakDS142 Meta - AH142 A3 325mm 190PUR|2011/07/08 19:05:24|20.4|20,4 g/m3|
KoeRakDS142 Meta - AH142 Y1 195mm 190PUR|2011/06/29 03:25:43|12.3|12,3 g/m3|
KoeRakDS142 Meta - AH142 Y2 290mm 190PUR|2011/06/19 11:45:43|9|9,0 g/m3|
KoeRakDS142 Meta - AH142 Y3 325mm 190PUR|2011/04/29 17:56:51|7.7|7,7 g/m3|
KoeRakDS142 Meta - AH142 Y3 325mm 190PUR|2012/01/29 18:24:05|1|1,0 g/m3|
