Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakOS122 - RH122 A1 180mm 160villa|2011/01/30 03:03:03|38.3|38.3|
KoeRakOS122 - RH122 A1 180mm 160villa|2011/08/18 08:10:58|51.5|51.5|
KoeRakOS122 - RH122 A2 260mm 160villa|2011/04/20 13:06:51|39.9|39.9|
KoeRakOS122 - RH122 A2 260mm 160villa|2011/09/26 11:21:15|55.5|55.5|
KoeRakOS122 - RH122 A3 295mm 160villa|2011/06/10 18:35:24|27.3|27.3|
KoeRakOS122 - RH122 Y1 180mm 160villa|2011/03/20 01:13:03|31.7|31.7|
KoeRakOS122 - RH122 Y1 180mm 160villa|2011/09/14 16:50:58|63.8|63.8|
KoeRakOS122 - RH122 Y2 260mm 160villa|2011/04/28 19:27:13|55.7|55.7|
KoeRakOS122 - RH122 Y2 260mm 160villa|2011/09/16 18:01:15|60.9|60.9|
KoeRakOS122 - RH122 Y3 295mm 160villa|2011/06/09 06:27:13|69.8|69.8|
KoeRakOS122 - T122 A1 180mm 160villa|2011/03/09 06:53:03|11.4|11.4|
KoeRakOS122 - T122 A1 180mm 160villa|2011/07/04 00:55:24|20.5|20.5|
KoeRakOS122 - T122 A2 260mm 160villa|2011/02/10 07:23:13|-10.8|-10.8|
KoeRakOS122 - T122 A2 260mm 160villa|2011/05/20 18:06:51|24.1|24.1|
KoeRakOS122 - T122 A2 260mm 160villa|2011/09/27 14:01:15|17.9|17.9|
KoeRakOS122 - T122 A3 295mm 160villa|2011/03/26 14:43:22|-0.9|-0.9|
KoeRakOS122 - T122 A3 295mm 160villa|2011/07/25 18:35:24|36.2|36.2|
KoeRakOS122 - T122 Y1 180mm 160villa|2011/02/18 07:53:22|1.3|1.3|
KoeRakOS122 - T122 Y1 180mm 160villa|2011/06/07 01:57:13|24.5|24.5|
KoeRakOS122 - T122 Y1 180mm 160villa|2011/12/14 14:54:05|15.8|15.8|
KoeRakOS122 - T122 Y2 260mm 160villa|2011/04/27 07:36:51|11|11|
KoeRakOS122 - T122 Y2 260mm 160villa|2011/08/27 10:30:58|18.8|18.8|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/03/08 20:03:13|2.7|2.7|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/06/27 18:55:24|31.9|31.9|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/12/31 19:24:05|-5.8|-5.8|
