Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakKL132 - T132 L01 700mm|2011/04/03 17:03:03|2.5|2.5|
KoeRakKL132 - T132 L10 1510mm|2012/01/07 08:04:05|17.5|17.5|
KoeRakLL132 - RH132 L12 2040mm|2011/09/30 14:31:15|84.8|84.8|
KoeRakLL132 - RH132 L11 4200mm|2011/03/17 19:03:22|81.5|81.5|
KoeRakLL132 - RH132 L11 4200mm|2011/06/01 18:27:13|96.2|96.2|
KoeRakLL132 - RH132 L11 4200mm|2011/09/22 13:11:15|91.8|91.8|
KoeRakKL132 - T132 L08 360mm|2011/02/19 07:13:13|11.5|11.5|
KoeRakLL132 - RH132 L13 1500mm|2011/02/16 00:53:13|34.5|34.5|
KoeRakLL132 - RH132 L13 1500mm|2012/01/29 12:34:05|32.3|32.3|
KoeRakLL132 Meta - AH132 L11 4200mm|2011/06/21 06:15:24|11.2|11,2 g/m3|
KoeRakLL132 Meta - AH132 L11 4200mm|2011/11/25 05:04:05|5.9|5,9 g/m3|
KoeRakLL132 - T132 L13 1500mm|2011/03/01 08:03:03|25.4|25.4|
KoeRakLL132 - T132 L13 1500mm|2011/06/08 20:26:51|21.4|21.4|
KoeRakLL132 - T132 L13 1500mm|2012/01/24 21:44:05|21|21|
KoeRakLL132 - RH132 L14 770mm|2011/12/20 15:54:05|74.8|74.8|
KoeRakKL132 - T132 L02 780mm|2012/01/24 15:54:05|7|7|
KoeRakLL132 - T132 L11 4200mm|2011/10/20 04:31:15|14.4|14.4|
KoeRakLL132 - T132 L14 770mm|2011/02/04 08:03:03|22.2|22.2|
KoeRakLL132 - T132 L14 770mm|2011/03/21 11:23:03|23|23|
KoeRakLL132 - T132 L14 770mm|2011/11/21 04:24:05|22.4|22.4|
KoeRakLL132 Meta - AH132 L12 2040mm|2011/05/20 22:16:51|10.2|10,2 g/m3|
KoeRakLL132 Meta - AH132 L13 1500mm|2011/03/02 21:33:03|6.9|6,9 g/m3|
KoeRakLL132 Meta - AH132 L13 1500mm|2011/11/13 04:44:05|8.7|8,7 g/m3|
KoeRakLL132 Meta - AH132 L14 770mm|2011/05/09 07:07:13|13.3|13,3 g/m3|
KoeRakLL132 Meta - AH132 L14 770mm|2012/01/29 20:04:05|18.1|18,1 g/m3|
