Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakAS146 - RH146 A1 195mm 190EPS|2011/01/30 02:13:22|37.2|37.2|
KoeRakAS146 - RH146 A1 195mm 190EPS|2011/12/20 11:44:05|45.2|45.2|
KoeRakAS146 - RH146 A2 290mm 190EPS|2011/08/16 00:20:58|56.6|56.6|
KoeRakAS146 - RH146 A3 325mm 190EPS|2011/07/06 01:15:43|71.6|71.6|
KoeRakAS146 - RH146 Y1 195mm 190EPS|2011/07/21 08:45:43|59|59|
KoeRakAS146 - RH146 Y2 290mm 190EPS|2011/06/15 10:15:24|67.9|67.9|
KoeRakAS146 - RH146 Y3 325mm 190EPS|2011/04/30 23:06:51|63.2|63.2|
KoeRakAS146 - T146 A1 195mm 190EPS|2011/04/05 05:43:03|13.5|13.5|
KoeRakAS146 - T146 A2 290mm 190EPS|2011/02/02 20:13:13|4.6|4.6|
KoeRakAS146 - T146 A2 290mm 190EPS|2011/07/21 15:25:24|21.6|21.6|
KoeRakAS146 - T146 A3 325mm 190EPS|2011/03/29 14:33:03|15.8|15.8|
KoeRakAS146 - T146 A3 325mm 190EPS|2011/11/10 10:54:05|1.4|1.4|
KoeRakAS146 - T146 Y1 195mm 190EPS|2011/06/25 12:45:43|21|21|
KoeRakAS146 - T146 Y2 290mm 190EPS|2011/03/20 10:23:22|2.6|2.6|
KoeRakAS146 - T146 Y2 290mm 190EPS|2011/10/02 23:11:15|14.9|14.9|
KoeRakAS146 - T146 Y3 325mm 190EPS|2011/05/22 16:47:13|32.4|32.4|
KoeRakAS146 Meta - AH146 A1 195mm 190EPS|2011/03/04 01:53:22|3.7|3,7 g/m3|
KoeRakAS146 Meta - AH146 A1 195mm 190EPS|2011/11/04 15:11:15|6.7|6,7 g/m3|
KoeRakAS146 Meta - AH146 A2 290mm 190EPS|2011/07/25 07:45:43|9.5|9,5 g/m3|
KoeRakAS146 Meta - AH146 A3 325mm 190EPS|2011/05/04 23:47:13|6.7|6,7 g/m3|
KoeRakAS146 Meta - AH146 Y1 195mm 190EPS|2011/03/03 05:53:13|3.9|3,9 g/m3|
KoeRakAS146 Meta - AH146 Y1 195mm 190EPS|2011/10/11 23:01:15|7.3|7,3 g/m3|
KoeRakAS146 Meta - AH146 Y2 290mm 190EPS|2011/07/07 08:55:24|12.2|12,2 g/m3|
KoeRakAS146 Meta - AH146 Y3 325mm 190EPS|2011/04/09 04:37:13|4.7|4,7 g/m3|
KoeRakAS146 Meta - AH146 Y3 325mm 190EPS|2012/01/29 02:34:05|1|1,0 g/m3|
