Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/01/30 00:13:03|980.7|980.7mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/03/11 18:43:13|980.3|980.3mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/05/05 07:16:51|1010.9|1010.9mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/07/09 19:35:43|1010.2|1010.2mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/09/13 17:51:15|982.3|982.3mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2012/01/10 22:14:05|1008.3|1008.3mbar|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/02/27 23:13:13|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/04/05 11:13:13|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/05/28 09:17:13|4|4.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/07/19 01:35:24|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/09/08 16:51:15|0.9|0.9m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/12/16 04:14:05|1.3|1.3m/s|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/02/18 08:13:03|75|75.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/03/24 19:13:13|46|46.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/05/13 10:17:13|54|54.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/07/04 04:35:43|88|88.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/08/24 19:50:58|83|83.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/11/16 09:44:05|100|100.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/02/08 11:43:13|-0.8|-0.8ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/03/15 01:13:22|-5.2|-5.2ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/04/29 04:16:51|1.3|1.3ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/06/19 20:05:43|19.4|19.4ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/08/10 10:50:58|16.6|16.6ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/10/16 15:51:15|8.8|8.8ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2012/01/30 03:14:05|-17.9|-17.9ｰC|
