Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakBL143 - T143 Lat01 3600mm|2011/03/11 05:33:22|3|3|
KoeRakBL143 - T143 Lat03 1500mm|2011/07/13 03:15:24|13.5|13.5|
KoeRakBL143 - T143 Lat08 550mm|2011/03/05 12:03:22|1.5|1.5|
KoeRakBL143 - T143 Lat08 550mm|2011/05/20 18:57:13|24.5|24.5|
KoeRakBL143 - T143 Lat08 550mm|2011/07/28 11:44:55|43|43|
KoeRakBL143 - T143 Lat08 550mm|2011/12/23 02:14:05|0.5|0.5|
KoeRakCL143 - RH143 L11 720mm|2011/03/15 09:33:13|92.1|92.1|
KoeRakCL143 - RH143 L11 720mm|2011/06/17 18:55:24|92.9|92.9|
KoeRakCL143 - RH143 L12 1870mm|2012/01/25 20:14:05|99.7|99.7|
KoeRakCL143 - RH143 L13 350mm|2011/08/12 20:31:15|69.9|69.9|
KoeRakCL143 - RH143 L14 1570mm|2011/10/02 05:41:15|89.3|89.3|
KoeRakCL143 - T143 L11 720mm|2011/09/26 23:51:15|13.4|13.4|
KoeRakCL143 - T143 L13 350mm|2011/02/03 02:03:13|20.9|20.9|
KoeRakCL143 - T143 L13 350mm|2011/03/16 08:03:03|29.2|29.2|
KoeRakCL143 - T143 L13 350mm|2011/08/31 23:41:15|21.9|21.9|
KoeRakCL143 - T143 L14 1570mm|2011/01/30 23:53:22|23.5|23.5|
KoeRakCL143 - T143 L14 1570mm|2011/03/16 12:13:13|25.2|25.2|
KoeRakCL143 - T143 L14 1570mm|2011/08/26 03:40:58|22.3|22.3|
KoeRakCL143 Meta - AH143 L11 720mm|2011/03/16 14:43:03|9.2|9,2g/m3|
KoeRakCL143 Meta - AH143 L11 720mm|2011/09/02 08:11:15|11.9|11,9g/m3|
KoeRakCL143 Meta - AH143 L13 350mm|2011/02/11 03:23:03|11.8|11,8g/m3|
KoeRakCL143 Meta - AH143 L13 350mm|2011/08/18 00:40:58|14.3|14,3g/m3|
KoeRakCL143 Meta - AH143 L14 1570mm|2011/02/22 21:03:03|18.5|18,5g/m3|
KoeRakCL143 Meta - AH143 L14 1570mm|2011/08/11 05:20:58|18.2|18,2g/m3|
KoeRakCL143 Meta - AH143 L14 1570mm|2012/01/30 02:44:05|19.6|19,6g/m3|
