Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakML123 - T123 L02 710mm|2011/01/30 08:03:03|6|6|
KoeRakML123 - T123 L04 270mm|2011/12/08 08:54:05|5.5|5.5|
KoeRakML123 - T123 L08 320mm|2011/04/01 15:53:13|4.5|4.5|
KoeRakML123 - T123 L08 320mm|2011/07/13 22:25:24|20|20|
KoeRakML123 - T123 L10 1550mm|2011/06/24 06:45:43|19.5|19.5|
KoeRakNL123 - RH123 L12 2980mm|2011/07/11 02:05:43|79.4|79.4|
KoeRakNL123 - RH123 L13 1470mm|2011/02/27 03:33:13|72.6|72.6|
KoeRakNL123 - RH123 L13 1470mm|2011/05/12 13:26:51|49.5|49.5|
KoeRakNL123 - RH123 L13 1470mm|2011/10/30 22:41:15|64.3|64.3|
KoeRakNL123 - RH123 L14 780mm|2011/03/06 09:43:13|75.7|75.7|
KoeRakNL123 - RH123 L14 780mm|2011/10/14 07:41:15|63.9|63.9|
KoeRakNL123 - T123 L12 2980mm|2011/09/08 12:31:15|15.5|15.5|
KoeRakNL123 - T123 L13 1470mm|2011/03/13 20:03:13|29.5|29.5|
KoeRakNL123 - T123 L13 1470mm|2011/05/20 02:17:13|22.7|22.7|
KoeRakNL123 - T123 L13 1470mm|2011/11/04 09:21:15|25.6|25.6|
KoeRakNL123 - T123 L14 780mm|2011/02/21 15:03:03|28.4|28.4|
KoeRakNL123 - T123 L14 780mm|2011/04/18 03:36:51|27|27|
KoeRakNL123 - T123 L14 780mm|2011/08/30 06:01:15|24.6|24.6|
KoeRakNL123 Meta - AH123 L12 2980mm|2011/02/13 02:03:03|10|10,0g/m3|
KoeRakNL123 Meta - AH123 L13 1470mm|2011/02/23 21:13:03|18.8|18,8g/m3|
KoeRakNL123 Meta - AH123 L13 1470mm|2011/06/05 12:26:51|14.4|14,4g/m3|
KoeRakNL123 Meta - AH123 L13 1470mm|2011/11/10 20:04:05|9|9,0g/m3|
KoeRakNL123 Meta - AH123 L14 780mm|2011/04/13 01:56:51|17.3|17,3g/m3|
KoeRakNL123 Meta - AH123 L14 780mm|2011/08/20 10:11:15|15.9|15,9g/m3|
