Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakHS139 - RH139 A1 275mm 350EPS|2011/01/30 00:33:03|59.4|59.4|
KoeRakHS139 - RH139 A1 275mm 350EPS|2011/07/14 14:15:24|59.5|59.5|
KoeRakHS139 - RH139 A2 450mm 350EPS|2011/03/22 06:33:13|69.2|69.2|
KoeRakHS139 - RH139 A2 450mm 350EPS|2011/08/28 04:00:58|56.6|56.6|
KoeRakHS139 - RH139 A3 485mm 350EPS|2011/05/01 15:46:51|66.1|66.1|
KoeRakHS139 - RH139 Y1 275mm 350EPS|2011/02/02 18:33:13|49.4|49.4|
KoeRakHS139 - RH139 Y1 275mm 350EPS|2011/06/18 14:55:24|61.9|61.9|
KoeRakHS139 - RH139 Y2 450mm 350EPS|2011/02/22 01:03:03|84.4|84.4|
KoeRakHS139 - RH139 Y2 450mm 350EPS|2011/07/28 07:35:26|78.3|78.3|
KoeRakHS139 - RH139 Y3 485mm 350EPS|2011/04/09 05:27:13|69.7|69.7|
KoeRakHS139 - RH139 Y3 485mm 350EPS|2011/10/17 16:31:15|71.1|71.1|
KoeRakHS139 - T139 A1 275mm 350EPS|2011/05/05 20:36:51|22.4|22.4|
KoeRakHS139 - T139 A1 275mm 350EPS|2011/10/06 01:21:15|18.1|18.1|
KoeRakHS139 - T139 A2 450mm 350EPS|2011/04/07 12:37:13|6.2|6.2|
KoeRakHS139 - T139 A2 450mm 350EPS|2011/08/16 05:21:15|19.9|19.9|
KoeRakHS139 - T139 A3 485mm 350EPS|2011/03/01 23:53:13|0.1|0.1|
KoeRakHS139 - T139 A3 485mm 350EPS|2011/06/25 13:35:43|20.6|20.6|
KoeRakHS139 - T139 A3 485mm 350EPS|2012/01/13 13:14:05|-1.5|-1.5|
KoeRakHS139 - T139 Y1 275mm 350EPS|2011/05/14 05:27:13|19.4|19.4|
KoeRakHS139 - T139 Y1 275mm 350EPS|2011/10/29 00:11:15|15.9|15.9|
KoeRakHS139 - T139 Y2 450mm 350EPS|2011/04/11 14:56:51|8.8|8.8|
KoeRakHS139 - T139 Y2 450mm 350EPS|2011/08/20 11:50:58|16|16|
KoeRakHS139 - T139 Y3 485mm 350EPS|2011/03/04 22:43:22|6.7|6.7|
KoeRakHS139 - T139 Y3 485mm 350EPS|2011/06/30 11:05:43|23.9|23.9|
KoeRakHS139 - T139 Y3 485mm 350EPS|2012/06/29 15:23:28|22.7|22.7|
