Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakES141 - RH141 A1 275mm 350 villa|2011/01/30 00:33:03|41.5|41.5|
KoeRakES141 - RH141 A1 275mm 350 villa|2011/07/03 08:15:24|60.5|60.5|
KoeRakES141 - RH141 A2 450mm 350 villa|2011/02/26 05:53:22|84.5|84.5|
KoeRakES141 - RH141 A2 450mm 350 villa|2011/07/20 07:45:24|62.8|62.8|
KoeRakES141 - RH141 A3 485mm 350 villa|2011/03/29 22:03:22|78|78|
KoeRakES141 - RH141 Y1 275mm 350 villa|2011/02/08 14:33:22|46.8|46.8|
KoeRakES141 - RH141 Y1 275mm 350 villa|2011/06/27 00:35:24|57.1|57.1|
KoeRakES141 - RH141 Y2 450mm 350 villa|2011/02/20 14:03:13|87.6|87.6|
KoeRakES141 - RH141 Y2 450mm 350 villa|2011/07/05 06:55:24|70.2|70.2|
KoeRakES141 - RH141 Y3 485mm 350 villa|2011/03/04 00:13:03|88.5|88.5|
KoeRakES141 - RH141 Y3 485mm 350 villa|2011/08/05 15:35:26|65.2|65.2|
KoeRakES141 - T141 A1 275mm 350 villa|2011/03/25 11:13:13|10.3|10.3|
KoeRakES141 - T141 A1 275mm 350 villa|2011/08/19 22:31:15|23.4|23.4|
KoeRakES141 - T141 A2 450mm 350 villa|2011/03/13 13:23:22|1.1|1.1|
KoeRakES141 - T141 A2 450mm 350 villa|2011/07/17 06:25:24|16.8|16.8|
KoeRakES141 - T141 A3 485mm 350 villa|2011/02/13 16:13:13|-7.9|-7.9|
KoeRakES141 - T141 A3 485mm 350 villa|2011/06/04 22:17:13|26|26|
KoeRakES141 - T141 A3 485mm 350 villa|2011/11/27 11:14:05|0.4|0.4|
KoeRakES141 - T141 Y1 275mm 350 villa|2011/04/28 22:46:51|25.2|25.2|
KoeRakES141 - T141 Y1 275mm 350 villa|2011/10/02 22:21:15|17.8|17.8|
KoeRakES141 - T141 Y2 450mm 350 villa|2011/03/31 07:23:13|-4.9|-4.9|
KoeRakES141 - T141 Y2 450mm 350 villa|2011/08/14 06:41:15|15.1|15.1|
KoeRakES141 - T141 Y3 485mm 350 villa|2011/03/02 04:03:03|-3.6|-3.6|
KoeRakES141 - T141 Y3 485mm 350 villa|2011/06/29 03:25:24|23.6|23.6|
KoeRakES141 - T141 Y3 485mm 350 villa|2012/01/30 06:54:05|-22.9|-22.9|
