Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakPS120 - RH120 A1 180mm 160 EPS|2011/01/30 00:33:03|50.4|50.4|
KoeRakPS120 - RH120 A1 180mm 160 EPS|2011/07/13 12:25:24|63.3|63.3|
KoeRakPS120 - RH120 A2 260mm 160 EPS|2011/03/12 04:03:13|82.5|82.5|
KoeRakPS120 - RH120 A2 260mm 160 EPS|2011/08/10 01:50:58|72.1|72.1|
KoeRakPS120 - RH120 A3 295mm 160 EPS|2011/04/12 10:07:13|86.3|86.3|
KoeRakPS120 - RH120 A3 295mm 160 EPS|2011/11/20 14:14:05|92.2|92.2|
KoeRakPS120 - RH120 Y1 180mm 160 EPS|2011/06/28 14:05:43|54.6|54.6|
KoeRakPS120 - RH120 Y2 260mm 160 EPS|2011/03/05 13:43:03|63.2|63.2|
KoeRakPS120 - RH120 Y2 260mm 160 EPS|2011/07/27 06:34:55|76.5|76.5|
KoeRakPS120 - RH120 Y3 295mm 160 EPS|2011/03/19 01:03:13|87.7|87.7|
KoeRakPS120 - RH120 Y3 295mm 160 EPS|2011/08/19 06:41:15|94.4|94.4|
KoeRakPS120 - T120 A1 180mm 160 EPS|2011/03/27 15:53:03|11.3|11.3|
KoeRakPS120 - T120 A1 180mm 160 EPS|2011/08/23 16:30:58|21.4|21.4|
KoeRakPS120 - T120 A2 260mm 160 EPS|2011/03/09 11:03:22|3.3|3.3|
KoeRakPS120 - T120 A2 260mm 160 EPS|2011/07/09 00:05:24|26|26|
KoeRakPS120 - T120 A3 295mm 160 EPS|2011/02/03 06:13:03|0.1|0.1|
KoeRakPS120 - T120 A3 295mm 160 EPS|2011/05/21 08:17:13|10.2|10.2|
KoeRakPS120 - T120 A3 295mm 160 EPS|2011/10/22 09:51:15|3.1|3.1|
KoeRakPS120 - T120 Y1 180mm 160 EPS|2011/04/15 23:56:51|17.2|17.2|
KoeRakPS120 - T120 Y1 180mm 160 EPS|2011/09/15 07:01:15|19.2|19.2|
KoeRakPS120 - T120 Y2 260mm 160 EPS|2011/03/31 00:43:13|3.5|3.5|
KoeRakPS120 - T120 Y2 260mm 160 EPS|2011/08/15 11:51:15|18.4|18.4|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2011/03/03 14:13:03|3.8|3.8|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2011/06/30 09:25:43|24.3|24.3|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2012/01/29 19:14:05|-19.8|-19.8|
