Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakIS137 - RH137 A1 220mm 240 villa|2011/01/30 00:33:03|50.9|50.9|
KoeRakIS137 - RH137 A1 220mm 240 villa|2011/06/27 23:55:24|68|68|
KoeRakIS137 - RH137 A2 340mm 240 villa|2011/03/01 09:43:22|74.9|74.9|
KoeRakIS137 - RH137 A2 340mm 240 villa|2011/08/08 08:34:55|70.3|70.3|
KoeRakIS137 - RH137 A3 375mm 240 villa|2011/05/20 16:26:51|71.2|71.2|
KoeRakIS137 - RH137 Y1 220mm 240 villa|2011/03/01 15:33:22|39.4|39.4|
KoeRakIS137 - RH137 Y1 220mm 240 villa|2011/08/01 03:14:55|56.1|56.1|
KoeRakIS137 - RH137 Y2 340mm 240 villa|2011/03/18 10:03:03|70.1|70.1|
KoeRakIS137 - RH137 Y2 340mm 240 villa|2011/09/14 20:10:58|80.3|80.3|
KoeRakIS137 - RH137 Y3 375mm 240 villa|2011/07/02 14:45:43|75.3|75.3|
KoeRakIS137 - T137 A1 220mm 240 villa|2011/03/21 09:43:22|7|7|
KoeRakIS137 - T137 A1 220mm 240 villa|2011/07/29 21:04:55|24.1|24.1|
KoeRakIS137 - T137 A2 340mm 240 villa|2011/02/19 08:03:13|-24.7|-24.7|
KoeRakIS137 - T137 A2 340mm 240 villa|2011/06/04 15:37:13|20.3|20.3|
KoeRakIS137 - T137 A2 340mm 240 villa|2011/11/10 10:54:05|2.8|2.8|
KoeRakIS137 - T137 A3 375mm 240 villa|2011/04/01 13:23:03|-2.8|-2.8|
KoeRakIS137 - T137 A3 375mm 240 villa|2011/08/02 16:45:26|17.7|17.7|
KoeRakIS137 - T137 Y1 220mm 240 villa|2011/02/17 05:13:22|0|0|
KoeRakIS137 - T137 Y1 220mm 240 villa|2011/06/13 20:45:43|17.9|17.9|
KoeRakIS137 - T137 Y2 340mm 240 villa|2011/01/30 09:43:22|1.6|1.6|
KoeRakIS137 - T137 Y2 340mm 240 villa|2011/05/08 16:56:51|14.4|14.4|
KoeRakIS137 - T137 Y2 340mm 240 villa|2011/09/12 02:21:15|14.2|14.2|
KoeRakIS137 - T137 Y3 375mm 240 villa|2011/03/16 17:13:03|-1.4|-1.4|
KoeRakIS137 - T137 Y3 375mm 240 villa|2011/07/08 19:05:24|32.4|32.4|
KoeRakIS137 - T137 Y3 375mm 240 villa|2012/01/30 02:44:05|-21|-21|
