Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakFL140 - T140 L01 42800mm|2011/07/01 08:45:24|11.5|11.5|
KoeRakFL140 - T140 L04 8000mm|2012/02/04 16:33:25|1|1|
KoeRakFL140 - T140 L08 5300mm|2012/03/14 17:13:25|8|8|
KoeRakFL140 - T140 L10 3600mm|2011/10/30 06:01:15|17.5|17.5|
KoeRakGL140 - RH140 L11 8500mm|2011/11/01 10:31:15|71.6|71.6|
KoeRakGL140 - RH140 L11 8500mm|2012/03/06 16:43:25|27.7|27.7|
KoeRakGL140 - RH140 L11 8500mm|2012/06/22 08:42:52|78.1|78.1|
KoeRakGL140 - T140 L14 1540mm|2011/12/29 14:04:05|25.7|25.7|
KoeRakGL140 - T140 L14 1540mm|2012/06/11 06:02:52|24.1|24.1|
KoeRakGL140 - T140 L11 8500mm|2011/07/06 17:05:43|12|12|
KoeRakGL140 - T140 L11 8500mm|2012/05/13 11:12:52|11.6|11.6|
KoeRakGL140 - T140 L12 21800mm|2011/09/18 22:31:15|11.1|11.1|
KoeRakGL140 - T140 L13 3500mm|2011/10/28 21:41:15|21.9|21.9|
KoeRakGL140 - T140 L13 3500mm|2012/02/12 00:23:25|24.3|24.3|
KoeRakGL140 - RH140 L12 21800mm|2011/11/29 19:54:05|64.2|64.2|
KoeRakGL140 - RH140 L12 21800mm|2012/03/31 10:13:25|68.4|68.4|
KoeRakGL140 Meta - AH140 L11 8500mm|2011/08/27 23:51:15|11.4|11.4g/m3|
KoeRakGL140 Meta - AH140 L11 8500mm|2012/01/12 12:14:05|4.7|4.7g/m3|
KoeRakGL140 Meta - AH140 L11 8500mm|2012/05/28 21:12:52|7.2|7.2g/m3|
KoeRakGL140 Meta - AH140 L12 21800mm|2012/01/16 13:44:05|6.6|6.6g/m3|
KoeRakGL140 Meta - AH140 L13 3500mm|2011/07/01 14:35:43|13.9|13.9g/m3|
KoeRakGL140 Meta - AH140 L13 3500mm|2011/12/25 23:24:05|10.2|10.2g/m3|
KoeRakGL140 Meta - AH140 L14 1540mm|2011/07/03 20:45:43|19|19.0g/m3|
KoeRakGL140 Meta - AH140 L14 1540mm|2012/01/01 12:04:05|17.1|17.1g/m3|
KoeRakGL140 Meta - AH140 L14 1540mm|2012/06/25 01:42:52|15.1|15.1g/m3|
