Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakAS146 - RH146 A1 195mm 190EPS|2011/06/29 00:05:24|58.6|58.6|
KoeRakAS146 - RH146 A1 195mm 190EPS|2012/05/31 19:12:52|32.3|32.3|
KoeRakAS146 - RH146 A2 290mm 190EPS|2012/03/13 08:43:25|49.4|49.4|
KoeRakAS146 - RH146 A3 325mm 190EPS|2012/02/16 17:43:25|85.8|85.8|
KoeRakAS146 - RH146 Y1 195mm 190EPS|2012/02/08 13:53:25|23.6|23.6|
KoeRakAS146 - RH146 Y2 290mm 190EPS|2011/11/21 01:54:05|66.8|66.8|
KoeRakAS146 - RH146 Y3 325mm 190EPS|2011/09/17 12:21:15|69.8|69.8|
KoeRakAS146 - T146 A1 195mm 190EPS|2011/09/05 12:00:58|19|19|
KoeRakAS146 - T146 A2 290mm 190EPS|2011/07/07 19:45:24|31.5|31.5|
KoeRakAS146 - T146 A2 290mm 190EPS|2012/02/15 13:23:25|3.3|3.3|
KoeRakAS146 - T146 A3 325mm 190EPS|2011/08/30 03:31:15|15.6|15.6|
KoeRakAS146 - T146 A3 325mm 190EPS|2012/05/27 11:02:52|20.2|20.2|
KoeRakAS146 - T146 Y1 195mm 190EPS|2012/01/14 02:34:05|11.8|11.8|
KoeRakAS146 - T146 Y2 290mm 190EPS|2011/08/20 18:31:15|18.2|18.2|
KoeRakAS146 - T146 Y2 290mm 190EPS|2012/04/29 11:28:25|19.2|19.2|
KoeRakAS146 - T146 Y3 325mm 190EPS|2011/10/19 11:01:15|6.2|6.2|
KoeRakAS146 Meta - AH146 A1 195mm 190EPS|2011/07/10 14:25:24|13|13.0 g/m3|
KoeRakAS146 Meta - AH146 A1 195mm 190EPS|2012/05/20 23:12:52|7.7|7.7 g/m3|
KoeRakAS146 Meta - AH146 A2 290mm 190EPS|2012/01/17 13:54:05|2.5|2.5 g/m3|
KoeRakAS146 Meta - AH146 A3 325mm 190EPS|2011/09/02 02:21:15|9.5|9.5 g/m3|
KoeRakAS146 Meta - AH146 Y1 195mm 190EPS|2011/07/15 14:25:43|11.3|11.3 g/m3|
KoeRakAS146 Meta - AH146 Y1 195mm 190EPS|2012/05/19 18:52:52|10.4|10.4 g/m3|
KoeRakAS146 Meta - AH146 Y2 290mm 190EPS|2011/12/18 00:34:05|4.5|4.5 g/m3|
KoeRakAS146 Meta - AH146 Y3 325mm 190EPS|2011/08/21 03:40:58|7.8|7.8 g/m3|
KoeRakAS146 Meta - AH146 Y3 325mm 190EPS|2012/06/29 01:32:52|5.8|5.8 g/m3|
