Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakJS134 - RH134 A1 220mm 240 EPS|2011/06/29 00:05:24|61|61|
KoeRakJS134 - RH134 A1 220mm 240 EPS|2012/02/01 16:53:25|33.3|33.3|
KoeRakJS134 - RH134 A2 340mm 240 EPS|2011/08/11 12:50:58|77.7|77.7|
KoeRakJS134 - RH134 A2 340mm 240 EPS|2012/03/24 00:33:25|89.3|89.3|
KoeRakJS134 - RH134 A3 375mm 240 EPS|2011/11/03 11:41:15|93.2|93.2|
KoeRakJS134 - RH134 Y1 220mm 240 EPS|2011/09/12 12:21:15|71.2|71.2|
KoeRakJS134 - RH134 Y1 220mm 240 EPS|2012/05/08 06:12:52|47.9|47.9|
KoeRakJS134 - RH134 Y2 340mm 240 EPS|2011/09/19 20:11:15|86.4|86.4|
KoeRakJS134 - RH134 Y2 340mm 240 EPS|2012/05/16 22:32:52|75.2|75.2|
KoeRakJS134 - RH134 Y3 375mm 240 EPS|2012/06/25 01:42:52|88.7|88.7|
KoeRakJS134 - T134 A1 220mm 240 EPS|2011/10/12 14:01:15|15.6|15.6|
KoeRakJS134 - T134 A1 220mm 240 EPS|2012/05/01 23:28:25|14.6|14.6|
KoeRakJS134 - T134 A2 340mm 240 EPS|2011/08/23 10:40:58|17|17|
KoeRakJS134 - T134 A2 340mm 240 EPS|2012/01/28 17:24:05|-14.3|-14.3|
KoeRakJS134 - T134 A3 375mm 240 EPS|2011/07/06 05:25:43|15.3|15.3|
KoeRakJS134 - T134 A3 375mm 240 EPS|2011/10/06 15:31:15|9.4|9.4|
KoeRakJS134 - T134 A3 375mm 240 EPS|2012/04/14 03:08:25|3|3|
KoeRakJS134 - T134 Y1 220mm 240 EPS|2011/08/14 23:21:15|20.6|20.6|
KoeRakJS134 - T134 Y1 220mm 240 EPS|2012/02/07 07:03:25|9.9|9.9|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2011/07/13 20:45:24|20.5|20.5|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2011/10/25 17:01:15|8.5|8.5|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2012/04/23 00:28:25|8.4|8.4|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2011/08/15 06:50:58|13.8|13.8|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2012/01/14 15:54:05|-7.7|-7.7|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2012/06/29 09:02:52|8|8|
