Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakES141 - RH141 A1 275mm 350 villa|2011/06/29 00:05:24|50.6|50.6|
KoeRakES141 - RH141 A1 275mm 350 villa|2011/11/13 14:44:05|46.3|46.3|
KoeRakES141 - RH141 A2 450mm 350 villa|2011/07/18 05:45:43|51|51|
KoeRakES141 - RH141 A2 450mm 350 villa|2012/01/30 14:22:44|75.2|75.2|
KoeRakES141 - RH141 A3 485mm 350 villa|2011/08/13 14:00:58|64.8|64.8|
KoeRakES141 - RH141 Y1 275mm 350 villa|2011/07/09 17:35:43|78.3|78.3|
KoeRakES141 - RH141 Y1 275mm 350 villa|2011/12/29 02:24:05|42.6|42.6|
KoeRakES141 - RH141 Y2 450mm 350 villa|2011/07/26 11:15:43|69.4|69.4|
KoeRakES141 - RH141 Y2 450mm 350 villa|2012/01/27 05:34:05|76.1|76.1|
KoeRakES141 - RH141 Y3 485mm 350 villa|2011/07/28 05:05:26|56.6|56.6|
KoeRakES141 - RH141 Y3 485mm 350 villa|2012/04/05 01:03:25|63.6|63.6|
KoeRakES141 - T141 A1 275mm 350 villa|2011/08/30 19:20:58|20.6|20.6|
KoeRakES141 - T141 A1 275mm 350 villa|2012/03/24 08:53:25|13.4|13.4|
KoeRakES141 - T141 A2 450mm 350 villa|2011/08/15 14:21:15|21.5|21.5|
KoeRakES141 - T141 A2 450mm 350 villa|2012/02/05 16:43:25|-21.3|-21.3|
KoeRakES141 - T141 A3 485mm 350 villa|2011/07/16 09:35:24|18.8|18.8|
KoeRakES141 - T141 A3 485mm 350 villa|2011/11/19 22:24:05|-1|-1|
KoeRakES141 - T141 A3 485mm 350 villa|2012/06/03 13:02:52|14.9|14.9|
KoeRakES141 - T141 Y1 275mm 350 villa|2011/09/29 03:31:15|16.3|16.3|
KoeRakES141 - T141 Y1 275mm 350 villa|2012/05/02 06:58:25|19.2|19.2|
KoeRakES141 - T141 Y2 450mm 350 villa|2011/08/31 07:50:58|14.7|14.7|
KoeRakES141 - T141 Y2 450mm 350 villa|2012/03/06 08:23:25|-6|-6|
KoeRakES141 - T141 Y3 485mm 350 villa|2011/07/31 19:45:26|47.5|47.5|
KoeRakES141 - T141 Y3 485mm 350 villa|2011/12/28 00:34:05|-0.3|-0.3|
KoeRakES141 - T141 Y3 485mm 350 villa|2012/06/28 23:52:52|13.2|13.2|
