Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakBL143 - T143 Lat01 3600mm|2011/06/29 03:25:24|14|14|
KoeRakBL143 - T143 Lat04 810mm|2011/08/29 12:31:15|19|19|
KoeRakBL143 - T143 Lat08 550mm|2011/07/19 21:45:24|21|21|
KoeRakBL143 - T143 Lat08 550mm|2011/09/16 01:21:15|14.5|14.5|
KoeRakBL143 - T143 Lat08 550mm|2012/05/08 17:02:52|24.5|24.5|
KoeRakBL143 - T143 Lat10 300mm|2012/03/02 06:53:25|15.5|15.5|
KoeRakCL143 - RH143 L11 720mm|2011/12/24 04:54:05|85.2|85.2|
KoeRakCL143 - RH143 L11 720mm|2012/06/06 03:32:52|87.2|87.2|
KoeRakCL143 - RH143 L13 350mm|2011/07/21 11:15:24|75.2|75.2|
KoeRakCL143 - RH143 L13 350mm|2012/04/28 08:48:25|58|58|
KoeRakCL143 - RH143 L14 1570mm|2012/04/30 14:08:25|83.7|83.7|
KoeRakCL143 - T143 L12 1870mm|2011/08/25 22:40:58|12.5|12.5|
KoeRakCL143 - T143 L13 350mm|2011/10/20 06:11:15|21.1|21.1|
KoeRakCL143 - T143 L13 350mm|2012/01/26 07:04:05|22.1|22.1|
KoeRakCL143 - T143 L13 350mm|2012/06/18 12:12:52|22.5|22.5|
KoeRakCL143 - T143 L14 1570mm|2011/12/09 04:04:05|23|23|
KoeRakCL143 - T143 L14 1570mm|2012/03/15 00:43:25|22|22|
KoeRakCL143 Meta - AH143 L11 720mm|2011/10/07 07:21:15|9.2|9.2g/m3|
KoeRakCL143 Meta - AH143 L11 720mm|2012/05/01 04:18:25|8.5|8.5g/m3|
KoeRakCL143 Meta - AH143 L12 1870mm|2012/06/05 20:02:52|9.5|9.5g/m3|
KoeRakCL143 Meta - AH143 L13 350mm|2011/11/30 02:34:05|10.6|10.6g/m3|
KoeRakCL143 Meta - AH143 L13 350mm|2012/03/18 19:33:25|10.4|10.4g/m3|
KoeRakCL143 Meta - AH143 L14 1570mm|2011/09/15 23:41:15|17.3|17.3g/m3|
KoeRakCL143 Meta - AH143 L14 1570mm|2012/01/23 04:54:05|18.5|18.5g/m3|
KoeRakCL143 Meta - AH143 L14 1570mm|2012/06/27 23:42:52|16.6|16.6g/m3|
