Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakOS122 - RH122 A1 180mm 160villa|2011/06/29 00:05:24|52.6|52.6|
KoeRakOS122 - RH122 A1 180mm 160villa|2011/09/07 02:21:15|55.1|55.1|
KoeRakOS122 - RH122 A2 260mm 160villa|2011/07/29 04:25:26|53.6|53.6|
KoeRakOS122 - RH122 A2 260mm 160villa|2011/10/27 16:31:15|55.5|55.5|
KoeRakOS122 - RH122 A3 295mm 160villa|2011/08/05 03:05:26|56.5|56.5|
KoeRakOS122 - RH122 A3 295mm 160villa|2011/12/19 06:34:05|83.8|83.8|
KoeRakOS122 - RH122 Y1 180mm 160villa|2011/09/01 07:10:58|59.5|59.5|
KoeRakOS122 - RH122 Y2 260mm 160villa|2011/07/20 11:05:24|74.7|74.7|
KoeRakOS122 - RH122 Y2 260mm 160villa|2011/09/23 02:31:15|72|72|
KoeRakOS122 - RH122 Y3 295mm 160villa|2011/07/19 06:45:43|70.3|70.3|
KoeRakOS122 - T122 A1 180mm 160villa|2011/07/02 13:05:24|24.7|24.7|
KoeRakOS122 - T122 A1 180mm 160villa|2011/08/28 08:11:15|21.1|21.1|
KoeRakOS122 - T122 A1 180mm 160villa|2011/12/11 19:24:05|12.2|12.2|
KoeRakOS122 - T122 A2 260mm 160villa|2011/08/13 04:00:58|16.4|16.4|
KoeRakOS122 - T122 A2 260mm 160villa|2011/10/21 23:01:15|7.1|7.1|
KoeRakOS122 - T122 A3 295mm 160villa|2011/07/19 14:15:24|21.7|21.7|
KoeRakOS122 - T122 A3 295mm 160villa|2011/09/09 21:50:58|17.1|17.1|
KoeRakOS122 - T122 Y1 180mm 160villa|2011/06/29 00:05:43|26.7|26.7|
KoeRakOS122 - T122 Y1 180mm 160villa|2011/08/25 05:11:15|20.7|20.7|
KoeRakOS122 - T122 Y1 180mm 160villa|2011/12/12 11:14:05|14.5|14.5|
KoeRakOS122 - T122 Y2 260mm 160villa|2011/08/13 14:00:58|17.2|17.2|
KoeRakOS122 - T122 Y2 260mm 160villa|2011/10/21 01:21:15|7.4|7.4|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/07/18 04:05:43|17.8|17.8|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/09/08 06:41:15|14.5|14.5|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/12/31 08:34:05|-1.8|-1.8|
