Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakIS137 - RH137 A1 220mm 240 villa|2011/06/29 00:05:24|64.3|64.3|
KoeRakIS137 - RH137 A1 220mm 240 villa|2011/12/06 19:24:05|50.9|50.9|
KoeRakIS137 - RH137 A2 340mm 240 villa|2011/07/20 17:45:43|62.4|62.4|
KoeRakIS137 - RH137 A2 340mm 240 villa|2012/03/13 03:43:25|75.4|75.4|
KoeRakIS137 - RH137 A3 375mm 240 villa|2011/09/03 22:30:58|86.4|86.4|
KoeRakIS137 - RH137 Y1 220mm 240 villa|2011/07/17 18:55:43|68.5|68.5|
KoeRakIS137 - RH137 Y1 220mm 240 villa|2012/02/02 09:33:25|16.5|16.5|
KoeRakIS137 - RH137 Y2 340mm 240 villa|2011/08/15 10:11:15|72.5|72.5|
KoeRakIS137 - RH137 Y2 340mm 240 villa|2012/05/09 22:12:52|55.5|55.5|
KoeRakIS137 - RH137 Y3 375mm 240 villa|2012/03/10 09:53:25|92.8|92.8|
KoeRakIS137 - T137 A1 220mm 240 villa|2011/08/25 12:41:15|18.3|18.3|
KoeRakIS137 - T137 A1 220mm 240 villa|2012/02/20 10:53:25|9.9|9.9|
KoeRakIS137 - T137 A2 340mm 240 villa|2011/07/21 13:45:43|22.4|22.4|
KoeRakIS137 - T137 A2 340mm 240 villa|2011/11/20 04:14:05|0.9|0.9|
KoeRakIS137 - T137 A2 340mm 240 villa|2012/05/21 00:02:52|17.3|17.3|
KoeRakIS137 - T137 A3 375mm 240 villa|2011/08/29 22:30:58|16.4|16.4|
KoeRakIS137 - T137 A3 375mm 240 villa|2012/02/20 09:13:25|-1|-1|
KoeRakIS137 - T137 Y1 220mm 240 villa|2011/07/18 17:25:24|22|22|
KoeRakIS137 - T137 Y1 220mm 240 villa|2011/12/28 14:44:05|14.2|14.2|
KoeRakIS137 - T137 Y2 340mm 240 villa|2011/07/01 22:55:43|27.3|27.3|
KoeRakIS137 - T137 Y2 340mm 240 villa|2011/10/06 03:01:15|10.5|10.5|
KoeRakIS137 - T137 Y2 340mm 240 villa|2012/04/19 16:28:25|10|10|
KoeRakIS137 - T137 Y3 375mm 240 villa|2011/08/14 05:01:15|12.3|12.3|
KoeRakIS137 - T137 Y3 375mm 240 villa|2012/01/14 22:34:05|-7.4|-7.4|
KoeRakIS137 - T137 Y3 375mm 240 villa|2012/06/28 20:32:52|15.3|15.3|
