Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakPS120 - RH120 A1 180mm 160 EPS|2011/06/29 00:05:24|60|60|
KoeRakPS120 - RH120 A1 180mm 160 EPS|2012/01/07 09:44:05|50.4|50.4|
KoeRakPS120 - RH120 A2 260mm 160 EPS|2011/08/04 00:25:26|69.4|69.4|
KoeRakPS120 - RH120 A2 260mm 160 EPS|2012/03/12 10:13:25|55.4|55.4|
KoeRakPS120 - RH120 A3 295mm 160 EPS|2011/08/23 18:11:15|79.1|79.1|
KoeRakPS120 - RH120 A3 295mm 160 EPS|2012/06/02 19:32:52|75.1|75.1|
KoeRakPS120 - RH120 Y1 180mm 160 EPS|2011/11/18 12:14:05|47.4|47.4|
KoeRakPS120 - RH120 Y2 260mm 160 EPS|2011/07/27 11:34:55|73|73|
KoeRakPS120 - RH120 Y2 260mm 160 EPS|2012/02/02 00:23:25|34.3|34.3|
KoeRakPS120 - RH120 Y3 295mm 160 EPS|2011/08/03 19:24:55|64.3|64.3|
KoeRakPS120 - RH120 Y3 295mm 160 EPS|2012/04/09 19:13:25|76.7|76.7|
KoeRakPS120 - T120 A1 180mm 160 EPS|2011/09/01 03:50:58|18.8|18.8|
KoeRakPS120 - T120 A1 180mm 160 EPS|2012/03/13 09:33:25|15.5|15.5|
KoeRakPS120 - T120 A2 260mm 160 EPS|2011/08/08 17:20:58|21.7|21.7|
KoeRakPS120 - T120 A2 260mm 160 EPS|2012/01/09 03:24:05|-4.5|-4.5|
KoeRakPS120 - T120 A3 295mm 160 EPS|2011/07/03 03:15:43|22.6|22.6|
KoeRakPS120 - T120 A3 295mm 160 EPS|2011/10/17 20:41:15|7.8|7.8|
KoeRakPS120 - T120 A3 295mm 160 EPS|2012/05/05 21:32:52|6.9|6.9|
KoeRakPS120 - T120 Y1 180mm 160 EPS|2011/09/07 19:50:58|20|20|
KoeRakPS120 - T120 Y1 180mm 160 EPS|2012/04/25 01:38:25|16.1|16.1|
KoeRakPS120 - T120 Y2 260mm 160 EPS|2011/08/29 20:01:15|19.8|19.8|
KoeRakPS120 - T120 Y2 260mm 160 EPS|2012/03/07 19:23:25|2.7|2.7|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2011/08/01 16:35:26|16.5|16.5|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2011/12/29 04:54:05|0|0|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2012/06/29 12:22:52|13.8|13.8|
