Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakQS118 - RH118 A1 180mm 160 PUR|2011/06/29 00:05:24|46.4|46.4|
KoeRakQS118 - RH118 A1 180mm 160 PUR|2011/12/25 03:24:05|37.7|37.7|
KoeRakQS118 - RH118 A2 260mm 160 PUR|2011/08/03 02:44:55|43.2|43.2|
KoeRakQS118 - RH118 A2 260mm 160 PUR|2012/03/06 16:43:25|58.4|58.4|
KoeRakQS118 - RH118 A3 295mm 160 PUR|2011/08/13 22:21:15|48.4|48.4|
KoeRakQS118 - RH118 A3 295mm 160 PUR|2012/04/03 11:33:25|66|66|
KoeRakQS118 - RH118 Y1 180mm 160 PUR|2011/08/29 15:50:58|51.5|51.5|
KoeRakQS118 - RH118 Y1 180mm 160 PUR|2012/05/20 11:32:52|54.6|54.6|
KoeRakQS118 - RH118 Y2 260mm 160 PUR|2011/10/10 07:01:15|72.9|72.9|
KoeRakQS118 - RH118 Y2 260mm 160 PUR|2012/06/12 20:22:52|40.5|40.5|
KoeRakQS118 - RH118 Y3 295mm 160 PUR|2012/03/15 19:03:25|66|66|
KoeRakQS118 - T118 A1 180mm 160 PUR|2011/08/27 11:21:15|20.4|20.4|
KoeRakQS118 - T118 A1 180mm 160 PUR|2012/03/13 01:13:25|12.4|12.4|
KoeRakQS118 - T118 A2 260mm 160 PUR|2011/08/06 13:14:55|19.6|19.6|
KoeRakQS118 - T118 A2 260mm 160 PUR|2012/01/14 05:04:05|-2.5|-2.5|
KoeRakQS118 - T118 A3 295mm 160 PUR|2011/07/07 01:25:43|20.1|20.1|
KoeRakQS118 - T118 A3 295mm 160 PUR|2011/10/30 03:41:15|3.6|3.6|
KoeRakQS118 - T118 A3 295mm 160 PUR|2012/05/18 03:42:52|16.7|16.7|
KoeRakQS118 - T118 Y1 180mm 160 PUR|2011/09/12 11:30:58|18.4|18.4|
KoeRakQS118 - T118 Y1 180mm 160 PUR|2012/04/21 01:48:25|13.8|13.8|
KoeRakQS118 - T118 Y2 260mm 160 PUR|2011/08/26 05:20:58|17.6|17.6|
KoeRakQS118 - T118 Y2 260mm 160 PUR|2012/02/27 14:33:25|2.6|2.6|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2011/07/28 19:15:26|30.6|30.6|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2011/12/23 13:54:05|2|2|
