Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakML123 - T123 L02 710mm|2011/06/29 12:35:24|12.5|12.5|
KoeRakML123 - T123 L05 700mm|2011/08/15 19:20:58|17|17|
KoeRakML123 - T123 L08 320mm|2011/08/15 09:20:58|16.5|16.5|
KoeRakML123 - T123 L08 320mm|2012/05/04 12:12:52|6.5|6.5|
KoeRakNL123 - RH123 L12 2980mm|2011/08/04 13:45:26|75.1|75.1|
KoeRakNL123 - RH123 L12 2980mm|2012/05/08 21:12:52|77.3|77.3|
KoeRakNL123 - RH123 L13 1470mm|2011/09/16 23:01:15|67.1|67.1|
KoeRakNL123 - RH123 L13 1470mm|2012/02/02 17:03:25|58.1|58.1|
KoeRakNL123 - RH123 L13 1470mm|2012/06/25 20:52:52|52.6|52.6|
KoeRakNL123 - RH123 L14 780mm|2012/02/08 18:53:25|58.7|58.7|
KoeRakNL123 - T123 L12 2980mm|2012/02/25 04:13:25|15.8|15.8|
KoeRakNL123 - T123 L13 1470mm|2011/10/13 11:41:15|22|22|
KoeRakNL123 - T123 L13 1470mm|2012/01/29 15:54:05|24.6|24.6|
KoeRakNL123 - T123 L13 1470mm|2012/05/12 21:52:52|29.4|29.4|
KoeRakNL123 - T123 L14 780mm|2011/10/05 11:11:15|27.6|27.6|
KoeRakNL123 - T123 L14 780mm|2012/01/22 16:24:05|29.1|29.1|
KoeRakNL123 - T123 L14 780mm|2012/05/04 22:12:52|27|27|
KoeRakNL123 Meta - AH123 L12 2980mm|2011/12/06 06:54:05|11.2|11.2g/m3|
KoeRakNL123 Meta - AH123 L13 1470mm|2011/07/20 17:45:43|13.6|13.6g/m3|
KoeRakNL123 Meta - AH123 L13 1470mm|2011/11/06 15:31:15|13.6|13.6g/m3|
KoeRakNL123 Meta - AH123 L13 1470mm|2012/02/25 05:53:25|13.4|13.4g/m3|
KoeRakNL123 Meta - AH123 L14 780mm|2011/06/30 23:35:43|16|16.0g/m3|
KoeRakNL123 Meta - AH123 L14 780mm|2011/11/06 23:51:15|18.8|18.8g/m3|
KoeRakNL123 Meta - AH123 L14 780mm|2012/02/22 16:13:25|20.1|20.1g/m3|
KoeRakNL123 Meta - AH123 L14 780mm|2012/06/29 06:32:52|14.9|14.9g/m3|
