Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakKL132 - T132 L01 700mm|2011/06/30 07:45:24|13|13|
KoeRakLL132 - RH132 L12 2040mm|2011/10/14 06:51:15|72|72|
KoeRakLL132 - RH132 L12 2040mm|2012/04/07 02:13:25|86.8|86.8|
KoeRakLL132 - RH132 L11 4200mm|2011/07/21 17:55:43|99.8|99.8|
KoeRakLL132 - RH132 L11 4200mm|2011/10/31 07:51:15|70.2|70.2|
KoeRakLL132 - RH132 L11 4200mm|2012/03/09 23:03:25|69.8|69.8|
KoeRakKL132 - T132 L03 200mm|2011/07/14 07:35:43|13|13|
KoeRakLL132 - RH132 L13 1500mm|2011/08/22 02:10:58|62.9|62.9|
KoeRakLL132 Meta - AH132 L11 4200mm|2011/07/19 10:05:24|13.2|13.2 g/m3|
KoeRakLL132 Meta - AH132 L11 4200mm|2011/11/14 07:24:05|7.5|7.5 g/m3|
KoeRakLL132 Meta - AH132 L11 4200mm|2012/04/10 09:23:25|5.2|5.2 g/m3|
KoeRakLL132 - T132 L13 1500mm|2011/10/07 05:41:15|19.9|19.9|
KoeRakLL132 - T132 L13 1500mm|2012/02/01 12:43:25|24.6|24.6|
KoeRakLL132 - RH132 L14 770mm|2011/08/18 19:51:15|82.4|82.4|
KoeRakKL132 - T132 L05 550mm|2011/08/18 16:31:15|15|15|
KoeRakLL132 - T132 L11 4200mm|2011/11/18 10:34:05|14.2|14.2|
KoeRakLL132 - T132 L12 2040mm|2012/01/04 10:04:05|13.1|13.1|
KoeRakLL132 - T132 L14 770mm|2011/12/08 07:14:05|21.7|21.7|
KoeRakLL132 - T132 L14 770mm|2012/03/19 03:03:25|21.7|21.7|
KoeRakLL132 Meta - AH132 L12 2040mm|2011/12/12 11:14:05|11.3|11.3 g/m3|
KoeRakLL132 Meta - AH132 L12 2040mm|2012/06/05 08:22:52|8.5|8.5 g/m3|
KoeRakLL132 Meta - AH132 L13 1500mm|2011/12/09 09:54:05|8.2|8.2 g/m3|
KoeRakLL132 Meta - AH132 L13 1500mm|2012/05/07 06:02:52|8.1|8.1 g/m3|
KoeRakLL132 Meta - AH132 L14 770mm|2011/12/29 21:34:05|13.8|13.8 g/m3|
KoeRakLL132 Meta - AH132 L14 770mm|2012/06/29 05:42:52|13.1|13.1 g/m3|
