Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakHS139 - RH139 A1 275mm 350EPS|2011/06/29 00:05:24|65.3|65.3|
KoeRakHS139 - RH139 A1 275mm 350EPS|2012/02/24 20:43:25|49.4|49.4|
KoeRakHS139 - RH139 A2 450mm 350EPS|2011/08/25 17:41:15|59.6|59.6|
KoeRakHS139 - RH139 A2 450mm 350EPS|2012/04/27 16:08:25|67.5|67.5|
KoeRakHS139 - RH139 A3 485mm 350EPS|2011/09/29 15:11:15|68.4|68.4|
KoeRakHS139 - RH139 Y1 275mm 350EPS|2011/07/12 13:55:43|68.5|68.5|
KoeRakHS139 - RH139 Y1 275mm 350EPS|2012/01/21 23:44:05|38.8|38.8|
KoeRakHS139 - RH139 Y2 450mm 350EPS|2011/08/02 22:35:26|73.6|73.6|
KoeRakHS139 - RH139 Y2 450mm 350EPS|2012/05/03 23:42:52|70.3|70.3|
KoeRakHS139 - RH139 Y3 485mm 350EPS|2011/10/11 13:01:15|69.7|69.7|
KoeRakHS139 - T139 A1 275mm 350EPS|2011/07/12 17:15:24|21.7|21.7|
KoeRakHS139 - T139 A1 275mm 350EPS|2011/12/02 00:24:05|13.5|13.5|
KoeRakHS139 - T139 A1 275mm 350EPS|2012/06/27 17:02:52|20.9|20.9|
KoeRakHS139 - T139 A2 450mm 350EPS|2011/09/29 06:51:15|8.5|8.5|
KoeRakHS139 - T139 A2 450mm 350EPS|2012/04/15 09:08:25|4.6|4.6|
KoeRakHS139 - T139 A3 485mm 350EPS|2011/08/15 11:01:15|16.6|16.6|
KoeRakHS139 - T139 A3 485mm 350EPS|2012/01/24 00:04:05|-5.8|-5.8|
KoeRakHS139 - T139 Y1 275mm 350EPS|2011/07/06 22:55:43|27.6|27.6|
KoeRakHS139 - T139 Y1 275mm 350EPS|2011/11/14 07:24:05|15|15|
KoeRakHS139 - T139 Y1 275mm 350EPS|2012/06/06 12:42:52|18.3|18.3|
KoeRakHS139 - T139 Y2 450mm 350EPS|2011/09/12 07:21:15|13|13|
KoeRakHS139 - T139 Y2 450mm 350EPS|2012/03/24 07:13:25|2.6|2.6|
KoeRakHS139 - T139 Y3 485mm 350EPS|2011/08/05 14:44:55|20.1|20.1|
KoeRakHS139 - T139 Y3 485mm 350EPS|2012/01/03 23:14:05|4.6|4.6|
KoeRakHS139 - T139 Y3 485mm 350EPS|2012/06/29 04:02:52|13.2|13.2|
