Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakDS142 - RH142 A1 195mm 190PUR|2011/06/29 00:05:24|54.6|54.6|
KoeRakDS142 - RH142 A1 195mm 190PUR|2012/04/04 19:13:25|25.4|25.4|
KoeRakDS142 - RH142 A2 290mm 190PUR|2011/11/23 14:44:05|37.7|37.7|
KoeRakDS142 - RH142 A3 325mm 190PUR|2011/09/02 12:21:15|68|68|
KoeRakDS142 - RH142 Y1 195mm 190PUR|2011/09/04 21:51:15|56.1|56.1|
KoeRakDS142 - RH142 Y2 290mm 190PUR|2011/09/01 15:31:15|74.3|74.3|
KoeRakDS142 - RH142 Y3 325mm 190PUR|2011/06/29 07:35:43|64.3|64.3|
KoeRakDS142 - RH142 Y3 325mm 190PUR|2012/05/29 23:52:52|48.4|48.4|
KoeRakDS142 - T142 A1 195mm 190PUR|2012/01/25 17:44:05|9|9|
KoeRakDS142 - T142 A2 290mm 190PUR|2011/08/28 15:40:58|26.5|26.5|
KoeRakDS142 - T142 A2 290mm 190PUR|2012/05/02 21:52:52|19.1|19.1|
KoeRakDS142 - T142 A3 325mm 190PUR|2011/10/22 04:01:15|4.5|4.5|
KoeRakDS142 - T142 Y1 195mm 190PUR|2011/07/27 02:24:55|24.5|24.5|
KoeRakDS142 - T142 Y2 290mm 190PUR|2011/08/31 13:40:58|18|18|
KoeRakDS142 - T142 Y2 290mm 190PUR|2012/05/07 17:42:52|23.4|23.4|
KoeRakDS142 - T142 Y3 325mm 190PUR|2011/10/24 10:11:15|5.8|5.8|
KoeRakDS142 Meta - AH142 A1 195mm 190PUR|2011/07/12 08:55:24|13.5|13.5 g/m3|
KoeRakDS142 Meta - AH142 A1 195mm 190PUR|2012/04/13 14:09:22|5.7|5.7 g/m3|
KoeRakDS142 Meta - AH142 A2 290mm 190PUR|2011/11/02 14:01:15|7.8|7.8 g/m3|
KoeRakDS142 Meta - AH142 A3 325mm 190PUR|2011/08/09 17:30:58|11.5|11.5 g/m3|
KoeRakDS142 Meta - AH142 A3 325mm 190PUR|2012/06/08 06:22:52|5.1|5.1 g/m3|
KoeRakDS142 Meta - AH142 Y1 195mm 190PUR|2012/05/30 18:12:52|5.9|5.9 g/m3|
KoeRakDS142 Meta - AH142 Y2 290mm 190PUR|2012/01/09 20:54:05|2.7|2.7 g/m3|
KoeRakDS142 Meta - AH142 Y3 325mm 190PUR|2011/08/25 08:30:58|8.7|8.7 g/m3|
KoeRakDS142 Meta - AH142 Y3 325mm 190PUR|2012/06/28 23:02:52|7.1|7.1 g/m3|
