Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakES141 - RH141 A1 275mm 350 villa|2010/04/14 17:32:19|53|53|
KoeRakES141 - RH141 A1 275mm 350 villa|2011/01/16 16:33:22|26.5|26.5|
KoeRakES141 - RH141 A2 450mm 350 villa|2010/08/23 04:44:40|52.5|52.5|
KoeRakES141 - RH141 A2 450mm 350 villa|2011/03/15 02:53:03|65|65|
KoeRakES141 - RH141 A3 485mm 350 villa|2011/02/24 18:03:03|86.9|86.9|
KoeRakES141 - RH141 Y1 275mm 350 villa|2010/10/12 19:10:57|57|57|
KoeRakES141 - RH141 Y2 450mm 350 villa|2010/04/14 18:37:19|93.4|93.4|
KoeRakES141 - RH141 Y2 450mm 350 villa|2010/12/16 01:11:01|72.5|72.5|
KoeRakES141 - RH141 Y3 485mm 350 villa|2010/05/03 17:07:19|92.4|92.4|
KoeRakES141 - RH141 Y3 485mm 350 villa|2011/03/26 11:23:22|81.7|81.7|
KoeRakES141 - T141 A1 275mm 350 villa|2010/12/07 08:50:52|9.4|9.4|
KoeRakES141 - T141 A1 275mm 350 villa|2011/03/27 07:33:03|8.8|8.8|
KoeRakES141 - T141 A2 450mm 350 villa|2010/08/19 21:09:39|34.2|34.2|
KoeRakES141 - T141 A2 450mm 350 villa|2011/01/29 23:43:13|1.2|1.2|
KoeRakES141 - T141 A3 485mm 350 villa|2010/04/25 14:22:19|11.9|11.9|
KoeRakES141 - T141 A3 485mm 350 villa|2010/10/18 00:10:57|7|7|
KoeRakES141 - T141 A3 485mm 350 villa|2011/02/22 03:33:22|-21.4|-21.4|
KoeRakES141 - T141 Y1 275mm 350 villa|2010/09/02 03:04:40|21.2|21.2|
KoeRakES141 - T141 Y1 275mm 350 villa|2011/02/11 19:13:22|5.5|5.5|
KoeRakES141 - T141 Y2 450mm 350 villa|2010/05/03 22:17:19|21.3|21.3|
KoeRakES141 - T141 Y2 450mm 350 villa|2010/11/28 18:10:52|-11.4|-11.4|
KoeRakES141 - T141 Y2 450mm 350 villa|2011/03/15 22:53:03|8.5|8.5|
KoeRakES141 - T141 Y3 485mm 350 villa|2010/05/15 03:42:19|21|21|
KoeRakES141 - T141 Y3 485mm 350 villa|2011/01/01 11:33:13|-7.3|-7.3|
KoeRakES141 - T141 Y3 485mm 350 villa|2012/06/29 11:37:33|12.1|12.1|
