Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakHS139 - RH139 A1 275mm 350EPS|2010/04/14 17:32:19|63.8|63.8|
KoeRakHS139 - RH139 A1 275mm 350EPS|2011/01/28 22:43:22|55.5|55.5|
KoeRakHS139 - RH139 A2 450mm 350EPS|2010/10/11 09:01:06|80.6|80.6|
KoeRakHS139 - RH139 A2 450mm 350EPS|2011/03/23 07:33:22|66|66|
KoeRakHS139 - RH139 A3 485mm 350EPS|2011/02/25 06:33:13|85.9|85.9|
KoeRakHS139 - RH139 Y1 275mm 350EPS|2010/09/30 15:58:47|52|52|
KoeRakHS139 - RH139 Y1 275mm 350EPS|2011/03/09 12:43:03|42.1|42.1|
KoeRakHS139 - RH139 Y2 450mm 350EPS|2011/01/31 04:53:13|85.3|85.3|
KoeRakHS139 - RH139 Y3 485mm 350EPS|2010/10/09 14:31:06|71.6|71.6|
KoeRakHS139 - T139 A1 275mm 350EPS|2010/04/20 18:57:19|16.4|16.4|
KoeRakHS139 - T139 A1 275mm 350EPS|2010/12/15 11:00:52|3.9|3.9|
KoeRakHS139 - T139 A2 450mm 350EPS|2010/04/15 08:22:19|4|4|
KoeRakHS139 - T139 A2 450mm 350EPS|2010/08/29 17:25:10|19.1|19.1|
KoeRakHS139 - T139 A2 450mm 350EPS|2011/02/02 16:53:22|3.4|3.4|
KoeRakHS139 - T139 A3 485mm 350EPS|2010/04/25 23:17:19|14.3|14.3|
KoeRakHS139 - T139 A3 485mm 350EPS|2010/10/18 06:00:57|5|5|
KoeRakHS139 - T139 A3 485mm 350EPS|2011/02/20 19:03:13|-10|-10|
KoeRakHS139 - T139 Y1 275mm 350EPS|2010/08/19 17:24:39|22.6|22.6|
KoeRakHS139 - T139 Y1 275mm 350EPS|2011/02/11 19:13:22|9.2|9.2|
KoeRakHS139 - T139 Y2 450mm 350EPS|2010/05/02 22:42:19|11.9|11.9|
KoeRakHS139 - T139 Y2 450mm 350EPS|2010/11/15 23:51:06|3.6|3.6|
KoeRakHS139 - T139 Y2 450mm 350EPS|2011/03/09 20:13:03|9.9|9.9|
KoeRakHS139 - T139 Y3 485mm 350EPS|2010/05/14 21:17:19|35.7|35.7|
KoeRakHS139 - T139 Y3 485mm 350EPS|2011/01/02 00:53:22|-3.8|-3.8|
KoeRakHS139 - T139 Y3 485mm 350EPS|2011/04/05 09:53:03|6.3|6.3|
