Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakKL132 - T132 L01 700mm|2010/04/14 17:32:22|2|2|
KoeRakKL132 - T132 L10 1510mm|2010/11/02 21:41:06|20|20|
KoeRakKL132 - T132 L10 1510mm|2011/03/21 20:33:03|17|17|
KoeRakLL132 - RH132 L11 4200mm|2010/05/06 23:02:19|96.6|96.6|
KoeRakLL132 - RH132 L11 4200mm|2010/11/07 21:41:06|99.4|99.4|
KoeRakLL132 - RH132 L11 4200mm|2011/03/21 23:53:22|89.1|89.1|
KoeRakKL132 - T132 L08 360mm|2011/02/18 16:13:22|12|12|
KoeRakLL132 - RH132 L13 1500mm|2010/10/13 17:41:06|57.5|57.5|
KoeRakLL132 - RH132 L13 1500mm|2011/02/14 11:23:22|36.7|36.7|
KoeRakLL132 - T132 L13 1500mm|2010/04/28 22:47:19|20|20|
KoeRakLL132 - T132 L13 1500mm|2010/10/27 00:51:06|26.7|26.7|
KoeRakLL132 - T132 L13 1500mm|2010/12/27 08:51:01|21.4|21.4|
KoeRakLL132 - T132 L13 1500mm|2011/02/05 02:23:03|23.6|23.6|
KoeRakLL132 - T132 L13 1500mm|2011/03/16 04:43:22|28.6|28.6|
KoeRakLL132 - RH132 L14 770mm|2010/10/16 09:01:06|87.3|87.3|
KoeRakLL132 - RH132 L14 770mm|2011/02/24 07:13:22|79.6|79.6|
KoeRakKL132 - T132 L02 780mm|2010/05/13 10:07:19|6|6|
KoeRakLL132 - T132 L11 4200mm|2010/12/22 18:01:01|12.2|12.2|
KoeRakLL132 - T132 L12 2040mm|2010/09/12 21:25:55|12.7|12.7|
KoeRakLL132 - T132 L14 770mm|2010/05/06 00:12:19|21.2|21.2|
KoeRakLL132 - T132 L14 770mm|2010/11/10 18:00:57|21.2|21.2|
KoeRakLL132 - T132 L14 770mm|2011/01/06 14:03:03|23.9|23.9|
KoeRakLL132 - T132 L14 770mm|2011/02/14 18:53:03|24|24|
KoeRakLL132 - T132 L14 770mm|2011/03/29 00:23:03|21|21|
KoeRakLL132 Meta - AH132 L14 770mm|2011/04/05 07:23:03|16.2|16,2 g/m3|
