Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakML123 - T123 L01 690mm|2010/04/14 17:32:23|2.5|2.5|
KoeRakML123 - T123 L04 270mm|2010/05/13 19:32:19|12.5|12.5|
KoeRakML123 - T123 L06 1770mm|2010/09/08 05:46:05|13.5|13.5|
KoeRakML123 - T123 L08 320mm|2010/10/06 06:30:57|6.5|6.5|
KoeRakML123 - T123 L08 320mm|2011/03/17 04:03:03|-2.5|-2.5|
KoeRakNL123 - RH123 L12 2980mm|2010/11/16 18:10:57|34.5|34.5|
KoeRakNL123 - RH123 L13 1470mm|2010/04/24 01:52:19|84.1|84.1|
KoeRakNL123 - RH123 L13 1470mm|2010/11/08 17:40:57|75.6|75.6|
KoeRakNL123 - RH123 L13 1470mm|2011/01/24 12:53:13|75.7|75.7|
KoeRakNL123 - RH123 L13 1470mm|2011/03/17 12:23:03|63.9|63.9|
KoeRakNL123 - RH123 L14 780mm|2010/11/26 11:11:01|81.6|81.6|
KoeRakNL123 - RH123 L14 780mm|2011/02/04 18:03:03|79.2|79.2|
KoeRakNL123 - RH123 L14 780mm|2011/03/31 12:23:03|74|74|
KoeRakNL123 - T123 L11 2820mm|2011/01/31 13:13:22|13.1|13.1|
KoeRakNL123 - T123 L12 2980mm|2011/03/15 08:43:13|15.3|15.3|
KoeRakNL123 - T123 L13 1470mm|2010/10/09 12:00:57|22.7|22.7|
KoeRakNL123 - T123 L13 1470mm|2010/12/19 00:01:01|29.8|29.8|
KoeRakNL123 - T123 L13 1470mm|2011/02/01 00:03:22|24.1|24.1|
KoeRakNL123 - T123 L13 1470mm|2011/03/14 01:53:03|24.5|24.5|
KoeRakNL123 - T123 L14 780mm|2010/05/10 08:37:19|23.2|23.2|
KoeRakNL123 - T123 L14 780mm|2010/11/27 11:20:52|30.8|30.8|
KoeRakNL123 - T123 L14 780mm|2011/01/17 15:03:22|27.1|27.1|
KoeRakNL123 - T123 L14 780mm|2011/02/27 14:23:22|28.3|28.3|
KoeRakNL123 Meta - AH123 L13 1470mm|2011/02/10 09:53:03|18.3|18,3g/m3|
KoeRakNL123 Meta - AH123 L14 780mm|2011/04/05 04:03:03|21.5|21,5g/m3|
