Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakAS146 - RH146 A1 195mm 190EPS|2010/04/14 17:32:19|42.1|42.1|
KoeRakAS146 - RH146 A2 290mm 190EPS|2010/04/15 21:07:18|66.6|66.6|
KoeRakAS146 - RH146 A2 290mm 190EPS|2011/02/14 00:33:03|41.9|41.9|
KoeRakAS146 - RH146 A3 325mm 190EPS|2010/12/13 00:41:01|79.5|79.5|
KoeRakAS146 - RH146 Y1 195mm 190EPS|2010/10/25 09:40:57|42.1|42.1|
KoeRakAS146 - RH146 Y2 290mm 190EPS|2010/08/19 12:44:39|38.4|38.4|
KoeRakAS146 - RH146 Y2 290mm 190EPS|2011/03/07 18:13:13|49.9|49.9|
KoeRakAS146 - RH146 Y3 325mm 190EPS|2011/03/04 01:53:03|76.2|76.2|
KoeRakAS146 - T146 A1 195mm 190EPS|2010/12/13 00:41:01|3.7|3.7|
KoeRakAS146 - T146 A2 290mm 190EPS|2010/04/20 14:27:18|15|15|
KoeRakAS146 - T146 A2 290mm 190EPS|2010/11/30 23:30:52|-4|-4|
KoeRakAS146 - T146 A2 290mm 190EPS|2011/03/30 03:03:13|3.1|3.1|
KoeRakAS146 - T146 A3 325mm 190EPS|2010/10/14 22:51:06|6.1|6.1|
KoeRakAS146 - T146 A3 325mm 190EPS|2011/03/06 10:33:13|2.6|2.6|
KoeRakAS146 - T146 Y1 195mm 190EPS|2010/11/08 22:41:06|13.3|13.3|
KoeRakAS146 - T146 Y1 195mm 190EPS|2011/04/02 01:03:13|16.9|16.9|
KoeRakAS146 - T146 Y2 290mm 190EPS|2010/10/06 19:51:06|19.8|19.8|
KoeRakAS146 - T146 Y2 290mm 190EPS|2011/02/25 05:43:03|-16.6|-16.6|
KoeRakAS146 - T146 Y3 325mm 190EPS|2010/05/12 16:52:18|26.7|26.7|
KoeRakAS146 - T146 Y3 325mm 190EPS|2011/01/08 03:33:03|-4.7|-4.7|
KoeRakAS146 Meta - AH146 A1 195mm 190EPS|2011/01/24 17:03:13|3|3,0 g/m3|
KoeRakAS146 Meta - AH146 A2 290mm 190EPS|2011/03/26 11:23:13|2.7|2,7 g/m3|
KoeRakAS146 Meta - AH146 Y1 195mm 190EPS|2011/01/22 18:23:03|3.4|3,4 g/m3|
KoeRakAS146 Meta - AH146 Y2 290mm 190EPS|2011/03/06 13:53:13|8.7|8,7 g/m3|
KoeRakAS146 Meta - AH146 Y3 325mm 190EPS|2011/04/05 05:43:03|4.5|4,5 g/m3|
