Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakBL143 - T143 Lat01 3600mm|2010/04/14 17:32:19|1.5|1.5|
KoeRakBL143 - T143 Lat03 1500mm|2010/05/06 02:32:19|8|8|
KoeRakBL143 - T143 Lat05 700mm|2010/10/29 19:31:06|12|12|
KoeRakBL143 - T143 Lat08 550mm|2010/05/09 19:07:19|10.5|10.5|
KoeRakBL143 - T143 Lat08 550mm|2011/03/07 11:33:22|-0.5|-0.5|
KoeRakBL143 - T143 Lat10 300mm|2010/04/19 22:32:18|16.5|16.5|
KoeRakCL143 - RH143 L11 720mm|2010/10/11 14:51:06|75.5|75.5|
KoeRakCL143 - RH143 L13 350mm|2010/04/20 00:27:19|75.6|75.6|
KoeRakCL143 - RH143 L13 350mm|2010/12/11 03:41:01|63.9|63.9|
KoeRakCL143 - RH143 L13 350mm|2011/02/13 12:03:22|61|61|
KoeRakCL143 - RH143 L14 1570mm|2010/08/17 08:13:49|94.6|94.6|
KoeRakCL143 - T143 L11 720mm|2010/08/17 18:58:49|14.3|14.3|
KoeRakCL143 - T143 L12 1870mm|2010/04/28 07:42:19|9.9|9.9|
KoeRakCL143 - T143 L13 350mm|2010/04/18 11:17:19|22|22|
KoeRakCL143 - T143 L13 350mm|2010/10/25 16:20:57|21.3|21.3|
KoeRakCL143 - T143 L13 350mm|2010/12/20 21:01:01|21.6|21.6|
KoeRakCL143 - T143 L13 350mm|2011/01/23 14:23:03|21.3|21.3|
KoeRakCL143 - T143 L13 350mm|2011/02/24 06:23:13|25.6|25.6|
KoeRakCL143 - T143 L13 350mm|2011/03/31 09:53:03|21.2|21.2|
KoeRakCL143 - T143 L14 1570mm|2010/10/23 11:01:06|22|22|
KoeRakCL143 - T143 L14 1570mm|2010/12/22 04:41:01|21.2|21.2|
KoeRakCL143 - T143 L14 1570mm|2011/01/25 08:53:13|24.4|24.4|
KoeRakCL143 - T143 L14 1570mm|2011/02/27 16:53:03|23|23|
KoeRakCL143 Meta - AH143 L11 720mm|2011/03/30 03:53:03|9|9,0g/m3|
KoeRakCL143 Meta - AH143 L14 1570mm|2012/06/29 11:37:33|16.4|16,4g/m3|
