Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2010/04/05 00:15:00|1014.7|1014.7mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2010/10/12 16:50:57|1002.8|1002.8mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2010/12/06 16:41:01|989.8|989.8mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/01/17 21:43:22|1001.6|1001.6mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/02/20 23:13:22|1028.8|1028.8mbar|
Jyv舖kyl舅 s蒿 - Ilmanpaine - mbar|2011/03/26 20:13:03|998.4|998.4mbar|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2010/09/06 10:29:39|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2010/11/03 05:51:06|6.3|6.3m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2010/12/20 03:41:01|3.1|3.1m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/01/21 13:13:22|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/02/19 11:43:13|0|0.0m/s|
Jyv舖kyl舅 s蒿 - Tuulen nopeus - m/s|2011/03/20 12:43:03|0.4|0.4m/s|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2010/08/14 12:18:49|61|61.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2010/10/23 03:21:06|91|91.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2010/12/08 23:11:01|86|86.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/01/14 03:13:22|93|93.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/02/12 02:13:03|92|92.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman kosteus - RH%|2011/03/13 00:13:22|86|86.0RH%|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2010/04/26 23:15:00|7.8|7.8ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2010/10/11 21:20:57|3.4|3.4ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2010/11/27 18:10:52|-11|-11.0ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/01/06 14:43:22|-7.1|-7.1ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/02/04 13:13:13|-4.1|-4.1ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/03/05 11:43:03|0.1|0.1ｰC|
Jyv舖kyl舅 s蒿 - Ulkoilman lampotila - C|2011/04/05 10:43:03|5.2|5.2ｰC|
