Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakPS120 - RH120 A1 180mm 160 EPS|2010/04/14 17:32:23|31.7|31.7|
KoeRakPS120 - RH120 A1 180mm 160 EPS|2010/12/28 10:41:01|35.5|35.5|
KoeRakPS120 - RH120 A2 260mm 160 EPS|2010/05/03 14:52:20|64.6|64.6|
KoeRakPS120 - RH120 A2 260mm 160 EPS|2011/01/18 17:43:22|69.7|69.7|
KoeRakPS120 - RH120 A3 295mm 160 EPS|2010/05/10 17:52:19|82.3|82.3|
KoeRakPS120 - RH120 A3 295mm 160 EPS|2011/03/12 14:03:03|91.6|91.6|
KoeRakPS120 - RH120 Y1 180mm 160 EPS|2010/12/18 00:40:52|32.2|32.2|
KoeRakPS120 - RH120 Y2 260mm 160 EPS|2010/05/12 22:07:19|72.1|72.1|
KoeRakPS120 - RH120 Y2 260mm 160 EPS|2011/02/06 13:23:03|54.4|54.4|
KoeRakPS120 - RH120 Y3 295mm 160 EPS|2010/05/17 06:02:44|94.9|94.9|
KoeRakPS120 - RH120 Y3 295mm 160 EPS|2011/03/14 18:33:13|89.3|89.3|
KoeRakPS120 - T120 A1 180mm 160 EPS|2010/11/07 08:21:06|10.7|10.7|
KoeRakPS120 - T120 A1 180mm 160 EPS|2011/03/03 23:23:13|11.3|11.3|
KoeRakPS120 - T120 A2 260mm 160 EPS|2010/05/17 09:37:44|18.3|18.3|
KoeRakPS120 - T120 A2 260mm 160 EPS|2011/01/13 19:23:03|-1.6|-1.6|
KoeRakPS120 - T120 A3 295mm 160 EPS|2010/04/19 07:12:19|0.2|0.2|
KoeRakPS120 - T120 A3 295mm 160 EPS|2010/10/26 09:50:57|2.1|2.1|
KoeRakPS120 - T120 A3 295mm 160 EPS|2011/02/25 11:33:22|-14.1|-14.1|
KoeRakPS120 - T120 Y1 180mm 160 EPS|2010/10/25 06:21:06|13.3|13.3|
KoeRakPS120 - T120 Y1 180mm 160 EPS|2011/03/14 10:13:13|13.1|13.1|
KoeRakPS120 - T120 Y2 260mm 160 EPS|2010/10/13 05:11:06|6.2|6.2|
KoeRakPS120 - T120 Y2 260mm 160 EPS|2011/02/19 23:53:03|-10.2|-10.2|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2010/05/12 23:02:19|16.1|16.1|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2011/01/04 12:53:13|-15.8|-15.8|
KoeRakPS120 - T120 Y3 295mm 160 EPS|2011/04/05 09:03:03|3|3|
