Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakOS122 - RH122 A1 180mm 160villa|2010/04/14 17:32:23|46.9|46.9|
KoeRakOS122 - RH122 A2 260mm 160villa|2010/04/14 20:22:19|55|55|
KoeRakOS122 - RH122 A2 260mm 160villa|2010/12/22 04:41:01|59.6|59.6|
KoeRakOS122 - RH122 A3 295mm 160villa|2010/05/10 01:52:19|80.6|80.6|
KoeRakOS122 - RH122 Y1 180mm 160villa|2010/04/29 15:52:19|43.2|43.2|
KoeRakOS122 - RH122 Y2 260mm 160villa|2010/04/20 08:32:19|64.6|64.6|
KoeRakOS122 - RH122 Y2 260mm 160villa|2010/11/04 22:01:06|75.9|75.9|
KoeRakOS122 - RH122 Y2 260mm 160villa|2011/03/12 21:33:03|66.9|66.9|
KoeRakOS122 - RH122 Y3 295mm 160villa|2011/02/18 17:53:22|81.8|81.8|
KoeRakOS122 - T122 A1 180mm 160villa|2010/10/07 06:41:06|14.8|14.8|
KoeRakOS122 - T122 A1 180mm 160villa|2011/02/20 03:13:22|-3.4|-3.4|
KoeRakOS122 - T122 A2 260mm 160villa|2010/05/07 00:02:19|10.5|10.5|
KoeRakOS122 - T122 A2 260mm 160villa|2010/12/05 03:31:01|-5.6|-5.6|
KoeRakOS122 - T122 A2 260mm 160villa|2011/03/14 21:53:13|1|1|
KoeRakOS122 - T122 A3 295mm 160villa|2010/05/16 19:42:44|35.8|35.8|
KoeRakOS122 - T122 A3 295mm 160villa|2010/12/31 06:23:22|-9.8|-9.8|
KoeRakOS122 - T122 A3 295mm 160villa|2011/04/01 00:03:13|2.3|2.3|
KoeRakOS122 - T122 Y1 180mm 160villa|2010/11/19 04:31:06|10.3|10.3|
KoeRakOS122 - T122 Y1 180mm 160villa|2011/03/15 03:43:13|11.6|11.6|
KoeRakOS122 - T122 Y2 260mm 160villa|2010/05/14 22:42:19|30|30|
KoeRakOS122 - T122 Y2 260mm 160villa|2010/12/16 16:11:01|-5.9|-5.9|
KoeRakOS122 - T122 Y2 260mm 160villa|2011/03/18 12:33:03|6.9|6.9|
KoeRakOS122 - T122 Y3 295mm 160villa|2010/05/17 21:52:44|30.6|30.6|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/01/04 12:53:03|-14.7|-14.7|
KoeRakOS122 - T122 Y3 295mm 160villa|2011/04/05 09:53:03|3.8|3.8|
