Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakDS142 - RH142 A1 195mm 190PUR|2010/04/06 11:49:40|39.9|39.9|
KoeRakDS142 - RH142 A1 195mm 190PUR|2011/01/17 06:43:22|29.9|29.9|
KoeRakDS142 - RH142 A2 290mm 190PUR|2010/05/14 18:12:19|48.5|48.5|
KoeRakDS142 - RH142 A2 290mm 190PUR|2011/02/14 20:33:03|29.3|29.3|
KoeRakDS142 - RH142 A3 325mm 190PUR|2010/12/10 21:01:01|59.7|59.7|
KoeRakDS142 - RH142 Y1 195mm 190PUR|2010/09/30 18:28:47|43.2|43.2|
KoeRakDS142 - RH142 Y2 290mm 190PUR|2010/04/28 06:07:19|54.9|54.9|
KoeRakDS142 - RH142 Y2 290mm 190PUR|2010/12/31 18:53:13|63.5|63.5|
KoeRakDS142 - RH142 Y3 325mm 190PUR|2010/04/25 23:17:19|81.5|81.5|
KoeRakDS142 - RH142 Y3 325mm 190PUR|2011/03/14 08:33:03|77.1|77.1|
KoeRakDS142 - T142 A1 195mm 190PUR|2010/11/10 23:50:57|16.8|16.8|
KoeRakDS142 - T142 A1 195mm 190PUR|2011/03/10 17:53:22|16.5|16.5|
KoeRakDS142 - T142 A2 290mm 190PUR|2010/08/15 16:18:49|27|27|
KoeRakDS142 - T142 A2 290mm 190PUR|2011/01/22 13:23:03|4.8|4.8|
KoeRakDS142 - T142 A3 325mm 190PUR|2010/04/15 00:47:19|7.8|7.8|
KoeRakDS142 - T142 A3 325mm 190PUR|2010/09/12 15:27:32|17.2|17.2|
KoeRakDS142 - T142 A3 325mm 190PUR|2011/02/07 15:13:13|-4.4|-4.4|
KoeRakDS142 - T142 Y1 195mm 190PUR|2010/12/15 21:51:01|17.9|17.9|
KoeRakDS142 - T142 Y2 290mm 190PUR|2010/05/02 23:47:19|8.9|8.9|
KoeRakDS142 - T142 Y2 290mm 190PUR|2010/12/07 17:10:52|1|1|
KoeRakDS142 - T142 Y2 290mm 190PUR|2011/03/16 10:33:22|2.6|2.6|
KoeRakDS142 - T142 Y3 325mm 190PUR|2010/05/11 09:12:19|8.2|8.2|
KoeRakDS142 - T142 Y3 325mm 190PUR|2010/12/28 04:50:52|-10|-10|
KoeRakDS142 - T142 Y3 325mm 190PUR|2011/03/30 13:53:03|21.1|21.1|
KoeRakDS142 Meta - AH142 Y3 325mm 190PUR|2011/04/05 01:33:03|4.6|4,6 g/m3|
