Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakQS118 - RH118 A1 180mm 160 PUR|2010/04/14 17:32:23|52.5|52.5|
KoeRakQS118 - RH118 A1 180mm 160 PUR|2011/01/21 00:43:03|33.3|33.3|
KoeRakQS118 - RH118 A2 260mm 160 PUR|2010/09/24 11:46:54|73.8|73.8|
KoeRakQS118 - RH118 A2 260mm 160 PUR|2011/03/16 18:53:22|53.4|53.4|
KoeRakQS118 - RH118 A3 295mm 160 PUR|2010/11/29 08:20:52|89.8|89.8|
KoeRakQS118 - RH118 Y1 180mm 160 PUR|2010/04/27 12:12:19|39.9|39.9|
KoeRakQS118 - RH118 Y1 180mm 160 PUR|2011/01/31 10:43:03|32.2|32.2|
KoeRakQS118 - RH118 Y2 260mm 160 PUR|2010/08/21 20:16:54|46.9|46.9|
KoeRakQS118 - RH118 Y2 260mm 160 PUR|2011/02/21 22:33:03|47.2|47.2|
KoeRakQS118 - RH118 Y3 295mm 160 PUR|2011/01/31 10:43:13|81.7|81.7|
KoeRakQS118 - T118 A1 180mm 160 PUR|2010/09/06 09:36:54|15.9|15.9|
KoeRakQS118 - T118 A1 180mm 160 PUR|2011/02/15 12:23:13|0.1|0.1|
KoeRakQS118 - T118 A2 260mm 160 PUR|2010/05/06 18:07:20|18.2|18.2|
KoeRakQS118 - T118 A2 260mm 160 PUR|2010/12/10 19:20:52|-8.9|-8.9|
KoeRakQS118 - T118 A2 260mm 160 PUR|2011/03/26 11:23:13|2|2|
KoeRakQS118 - T118 A3 295mm 160 PUR|2010/08/16 10:13:51|34.3|34.3|
KoeRakQS118 - T118 A3 295mm 160 PUR|2011/01/21 09:53:03|-11.9|-11.9|
KoeRakQS118 - T118 Y1 180mm 160 PUR|2010/05/03 01:17:19|13.6|13.6|
KoeRakQS118 - T118 Y1 180mm 160 PUR|2011/01/08 23:33:22|8.9|8.9|
KoeRakQS118 - T118 Y2 260mm 160 PUR|2010/04/23 05:32:19|6.9|6.9|
KoeRakQS118 - T118 Y2 260mm 160 PUR|2010/10/26 14:50:57|7|7|
KoeRakQS118 - T118 Y2 260mm 160 PUR|2011/03/03 01:43:03|5.6|5.6|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2010/05/13 02:07:19|14.2|14.2|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2010/12/25 02:41:01|-21.1|-21.1|
KoeRakQS118 - T118 Y3 295mm 160 PUR|2011/04/05 08:13:13|8.1|8.1|
