Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakFL140 - T140 L01 42800mm|2010/04/14 17:32:19|2.5|2.5|
KoeRakFL140 - T140 L03 16500mm|2011/02/04 08:53:03|8.5|8.5|
KoeRakFL140 - T140 L06 6600mm|2010/04/24 14:47:19|10|10|
KoeRakFL140 - T140 L10 3600mm|2010/05/02 20:17:19|17.5|17.5|
KoeRakGL140 - RH140 L11 8500mm|2010/10/25 06:21:06|99|99|
KoeRakGL140 - RH140 L11 8500mm|2011/01/09 11:13:13|49.4|49.4|
KoeRakGL140 - RH140 L11 8500mm|2011/02/23 08:24:33|18.3|18.3|
KoeRakGL140 - T140 L14 1540mm|2010/04/17 04:37:19|23.4|23.4|
KoeRakGL140 - T140 L14 1540mm|2010/10/29 00:20:57|23.7|23.7|
KoeRakGL140 - T140 L14 1540mm|2010/12/30 06:51:01|31.1|31.1|
KoeRakGL140 - T140 L14 1540mm|2011/02/08 07:03:22|25.8|25.8|
KoeRakGL140 - T140 L14 1540mm|2011/03/25 19:14:33|27.6|27.6|
KoeRakGL140 - RH140 L13 3500mm|2010/12/08 02:21:01|53.1|53.1|
KoeRakGL140 - RH140 L13 3500mm|2011/03/07 19:53:22|51|51|
KoeRakGL140 - T140 L11 8500mm|2010/12/08 19:00:52|10.4|10.4|
KoeRakGL140 - RH140 L14 1540mm|2010/10/20 01:21:06|87|87|
KoeRakGL140 - T140 L12 21800mm|2011/01/04 02:53:22|10.3|10.3|
KoeRakGL140 - T140 L13 3500mm|2010/05/02 20:42:19|21|21|
KoeRakGL140 - T140 L13 3500mm|2010/11/03 21:50:57|20.8|20.8|
KoeRakGL140 - T140 L13 3500mm|2010/12/31 23:03:03|30.5|30.5|
KoeRakGL140 - T140 L13 3500mm|2011/02/09 07:13:22|25|25|
KoeRakGL140 - T140 L13 3500mm|2011/03/24 16:53:22|21.9|21.9|
KoeRakGL140 - RH140 L12 21800mm|2011/03/11 11:04:33|88.3|88.3|
KoeRakGL140 Meta - AH140 L12 21800mm|2011/02/23 05:54:33|4.9|4,9g/m3|
KoeRakGL140 Meta - AH140 L14 1540mm|2011/04/04 15:14:33|17.2|17,2g/m3|
