Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakJS134 - RH134 A1 220mm 240 EPS|2010/04/14 17:32:19|62.8|62.8|
KoeRakJS134 - RH134 A1 220mm 240 EPS|2011/01/19 17:53:13|48.4|48.4|
KoeRakJS134 - RH134 A2 340mm 240 EPS|2010/08/29 13:15:37|83.1|83.1|
KoeRakJS134 - RH134 A2 340mm 240 EPS|2011/03/08 00:53:03|87.3|87.3|
KoeRakJS134 - RH134 Y1 220mm 240 EPS|2010/05/05 14:22:19|56.5|56.5|
KoeRakJS134 - RH134 Y1 220mm 240 EPS|2011/01/08 03:33:13|66.5|66.5|
KoeRakJS134 - RH134 Y2 340mm 240 EPS|2010/08/13 16:28:50|79.5|79.5|
KoeRakJS134 - RH134 Y2 340mm 240 EPS|2011/02/07 09:23:13|80.4|80.4|
KoeRakJS134 - T134 A1 220mm 240 EPS|2010/05/04 00:52:19|13.5|13.5|
KoeRakJS134 - T134 A1 220mm 240 EPS|2011/01/06 09:03:22|5.7|5.7|
KoeRakJS134 - T134 A1 220mm 240 EPS|2011/04/02 06:03:03|12.5|12.5|
KoeRakJS134 - T134 A2 340mm 240 EPS|2010/09/06 12:55:37|12.6|12.6|
KoeRakJS134 - T134 A2 340mm 240 EPS|2011/01/21 05:43:03|-10.5|-10.5|
KoeRakJS134 - T134 A3 375mm 240 EPS|2010/04/17 13:42:19|3.2|3.2|
KoeRakJS134 - T134 A3 375mm 240 EPS|2010/09/19 05:05:37|10.3|10.3|
KoeRakJS134 - T134 A3 375mm 240 EPS|2011/01/27 07:33:22|-16.4|-16.4|
KoeRakJS134 - T134 Y1 220mm 240 EPS|2010/04/27 19:27:19|15.8|15.8|
KoeRakJS134 - T134 Y1 220mm 240 EPS|2010/12/29 01:40:52|3.7|3.7|
KoeRakJS134 - T134 Y1 220mm 240 EPS|2011/03/26 17:13:22|12.1|12.1|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2010/08/19 23:09:39|14.9|14.9|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2011/01/12 00:03:03|1|1|
KoeRakJS134 - T134 Y2 340mm 240 EPS|2011/03/31 09:53:13|-9.7|-9.7|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2010/08/20 04:04:39|8.8|8.8|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2011/01/15 07:13:03|-17.4|-17.4|
KoeRakJS134 - T134 Y3 375mm 240 EPS|2011/04/05 10:43:13|3|3|
