Pisteen nimi|Aika|Arvo|Muotoiltu|Huomautus
KoeRakIS137 - RH137 A1 220mm 240 villa|2010/04/14 17:32:19|65.2|65.2|
KoeRakIS137 - RH137 A1 220mm 240 villa|2011/01/18 01:03:13|48.8|48.8|
KoeRakIS137 - RH137 A2 340mm 240 villa|2010/09/07 18:55:20|68.9|68.9|
KoeRakIS137 - RH137 A2 340mm 240 villa|2011/03/12 14:53:03|77.6|77.6|
KoeRakIS137 - RH137 A3 375mm 240 villa|2011/03/09 06:53:13|97.8|97.8|
KoeRakIS137 - RH137 Y1 220mm 240 villa|2010/12/17 19:40:52|27.1|27.1|
KoeRakIS137 - RH137 Y2 340mm 240 villa|2010/08/19 21:24:39|70.7|70.7|
KoeRakIS137 - RH137 Y2 340mm 240 villa|2011/02/25 01:33:22|51.7|51.7|
KoeRakIS137 - RH137 Y3 375mm 240 villa|2011/02/21 06:43:03|92|92|
KoeRakIS137 - T137 A1 220mm 240 villa|2010/10/23 11:00:57|8.5|8.5|
KoeRakIS137 - T137 A1 220mm 240 villa|2011/02/12 22:43:13|-3|-3|
KoeRakIS137 - T137 A2 340mm 240 villa|2010/05/04 22:02:19|10.2|10.2|
KoeRakIS137 - T137 A2 340mm 240 villa|2010/12/05 16:50:52|-2.6|-2.6|
KoeRakIS137 - T137 A2 340mm 240 villa|2011/03/03 08:23:13|5.1|5.1|
KoeRakIS137 - T137 A3 375mm 240 villa|2010/05/12 16:12:19|16|16|
KoeRakIS137 - T137 A3 375mm 240 villa|2010/12/13 06:30:52|-14|-14|
KoeRakIS137 - T137 A3 375mm 240 villa|2011/03/09 15:13:03|1.7|1.7|
KoeRakIS137 - T137 Y1 220mm 240 villa|2010/10/31 01:31:06|14|14|
KoeRakIS137 - T137 Y1 220mm 240 villa|2011/02/23 15:23:13|5|5|
KoeRakIS137 - T137 Y2 340mm 240 villa|2010/08/14 00:18:49|23.8|23.8|
KoeRakIS137 - T137 Y2 340mm 240 villa|2011/01/08 00:13:22|-0.6|-0.6|
KoeRakIS137 - T137 Y2 340mm 240 villa|2011/03/28 00:13:22|3.8|3.8|
KoeRakIS137 - T137 Y3 375mm 240 villa|2010/08/28 09:45:20|9.9|9.9|
KoeRakIS137 - T137 Y3 375mm 240 villa|2011/01/17 20:53:13|-3.8|-3.8|
KoeRakIS137 - T137 Y3 375mm 240 villa|2011/04/05 14:02:43|7.1|7.1|
